B_cellulosilyticus_WH2	B_caccae	B_vulgatus	B_thetaiotaomicron	B_ovatus	R_obeum	B_uniformis	P_distasonis	C_scindens	C_aerofaciens	C_spiroforme
K03629	K03803	K03685	K03685	K03650	K05995	K03701	K03718	K05934	K09767	
K03630	K03811	K03686	K03686	K03654	K06012	K03702	K03719	K05936	K09768	
K03631	K03814	K03687	K03687	K03655	K06023	K03703	K03723	K05939	K09772	
K03634	K03816	K03694	K03695	K03657	K06024	K03711	K03733	K06001	K09773	
K03640	K03827	K03695	K03696	K03664	K06042	K03718	K03734	K06012	K09811	
K03644	K03832	K03696	K03699	K03665	K06120	K03723	K03737	K06023	K09812	
K03648	K03839	K03699	K03701	K03671	K06121	K03733	K03741	K06024	K09817	
K03650	K03885	K03701	K03702	K03685	K06131	K03734	K03742	K06042	K09825	
K03654	K03924	K03702	K03703	K03686	K06132	K03737	K03743	K06131	K09861	
K03655	K03925	K03703	K03707	K03687	K06133	K03741	K03744	K06132	K09903	
K03657	K03973	K03711	K03709	K03695	K06147	K03742	K03768	K06147	K10005	
K03664	K03975	K03718	K03710	K03696	K06153	K03743	K03770	K06153	K10006	
K03665	K03976	K03719	K03711	K03699	K06158	K03744	K03771	K06158	K10007	
K03671	K03977	K03723	K03718	K03701	K06168	K03768	K03772	K06168	K10008	
K03685	K03978	K03733	K03719	K03702	K06173	K03770	K03773	K06173	K10039	
K03686	K03979	K03734	K03723	K03703	K06178	K03771	K03775	K06178	K10040	
K03687	K04041	K03737	K03733	K03710	K06179	K03772	K03778	K06179	K10041	
K03694	K04043	K03741	K03734	K03711	K06180	K03773	K03781	K06180	K10112	
K03695	K04047	K03742	K03737	K03718	K06182	K03775	K03783	K06182	K10117	
K03696	K04066	K03743	K03741	K03719	K06183	K03778	K03786	K06183	K10118	
K03699	K04068	K03744	K03742	K03723	K06187	K03783	K03787	K06187	K10119	
K03701	K04069	K03768	K03743	K03733	K06200	K03786	K03797	K06196	K10206	
K03702	K04075	K03770	K03744	K03734	K06207	K03787	K03798	K06199	K10536	
K03703	K04077	K03771	K03748	K03737	K06209	K03797	K03800	K06207	K10709	
K03711	K04078	K03772	K03768	K03741	K06213	K03798	K03801	K06213	K10710	
K03718	K04079	K03773	K03770	K03742	K06217	K03801	K03803	K06217	K10773	
K03723	K04084	K03775	K03771	K03743	K06283	K03803	K03810	K06223	K10797	
K03733	K04096	K03778	K03772	K03744	K06287	K03811	K03811	K06283	K10823	
K03734	K04485	K03783	K03773	K03748	K06298	K03814	K03814	K06287	K10907	
K03737	K04486	K03786	K03775	K03768	K06310	K03827	K03816	K06298	K10947	
K03742	K04516	K03787	K03778	K03770	K06320	K03832	K03818	K06306	K11068	
K03743	K04518	K03797	K03781	K03771	K06330	K03839	K03819	K06331	K11105	
K03744	K04564	K03798	K03783	K03772	K06331	K03885	K03823	K06333	K11144	
K03748	K04567	K03799	K03786	K03773	K06333	K03924	K03827	K06334	K11175	
K03768	K04757	K03801	K03787	K03775	K06334	K03925	K03830	K06337	K11189	
K03770	K04759	K03803	K03789	K03778	K06337	K03929	K03832	K06346	K11358	
K03771	K04761	K03811	K03797	K03781	K06346	K03931	K03839	K06373	K11717	
K03772	K04762	K03814	K03798	K03783	K06378	K03973	K03885	K06374	K11749	
K03773	K04763	K03816	K03799	K03786	K06379	K03975	K03924	K06378	K11753	
K03775	K04764	K03818	K03800	K03787	K06381	K03976	K03929	K06379	K11754	
K03778	K04773	K03823	K03801	K03797	K06382	K03977	K03973	K06381	K11755	
K03781	K05306	K03827	K03803	K03798	K06383	K03979	K03975	K06382	K11924	
K03783	K05340	K03830	K03811	K03799	K06385	K04041	K03976	K06383	K11927	
K03786	K05349	K03832	K03814	K03800	K06390	K04042	K03977	K06385	K12132	
K03787	K05366	K03839	K03816	K03801	K06391	K04043	K03978	K06387	K12136	
K03797	K05367	K03924	K03827	K03803	K06392	K04047	K03979	K06390	K12137	
K03798	K05515	K03925	K03832	K03811	K06393	K04066	K04041	K06391	K12138	
K03800	K05516	K03931	K03839	K03814	K06394	K04068	K04043	K06392	K12140	
K03801	K05520	K03973	K03885	K03816	K06395	K04069	K04047	K06393	K12141	
K03803	K05591	K03975	K03924	K03827	K06396	K04075	K04066	K06394	K12143	
K03811	K05592	K03976	K03925	K03830	K06397	K04077	K04068	K06396	K12297	
K03814	K05595	K03977	K03973	K03832	K06398	K04078	K04069	K06397	K12308	
K03816	K05601	K03978	K03975	K03839	K06399	K04079	K04075	K06398	K12410	
K03823	K05606	K03979	K03976	K03885	K06400	K04084	K04077	K06399	K12510	
K03827	K05776	K04041	K03977	K03924	K06403	K04095	K04078	K06400	K12511	
K03828	K05783	K04043	K03978	K03925	K06404	K04096	K04079	K06403	K12527	
K03830	K05800	K04066	K03979	K03973	K06405	K04485	K04084	K06404	K12573	
K03832	K05807	K04068	K04041	K03975	K06406	K04486	K04096	K06405	K12574	
K03839	K05808	K04069	K04043	K03976	K06407	K04516	K04477	K06406	K12952	
K03885	K05810	K04075	K04047	K03977	K06409	K04518	K04485	K06407	K13017	
K03924	K05837	K04077	K04066	K03978	K06412	K04564	K04486	K06408	K13038	
K03925	K05946	K04078	K04068	K03979	K06421	K04567	K04516	K06409	K13049	
K03928	K05970	K04079	K04069	K04041	K06438	K04720	K04518	K06412	K13252	
K03931	K05989	K04084	K04075	K04043	K06442	K04751	K04564	K06421	K13292	
K03973	K06001	K04096	K04077	K04047	K06518	K04759	K04567	K06438	K13640	
K03975	K06041	K04477	K04078	K04066	K06864	K04761	K04651	K06442	K13643	
K03976	K06076	K04485	K04079	K04068	K06871	K04762	K04652	K06518	K13714	
K03977	K06079	K04516	K04084	K04069	K06872	K04763	K04653	K06726	K13787	
K03978	K06131	K04518	K04096	K04075	K06881	K04764	K04654	K06864	K13993	
K03979	K06142	K04564	K04485	K04077	K06889	K04773	K04655	K06871	K14059	
K04041	K06143	K04567	K04486	K04078	K06898	K05306	K04656	K06872	K14086	
K04043	K06147	K04720	K04516	K04079	K06901	K05340	K04720	K06881	K14088	
K04047	K06153	K04751	K04518	K04084	K06915	K05349	K04749	K06889	K14090	
K04066	K06158	K04759	K04564	K04096	K06919	K05366	K04757	K06898	K14091	
K04068	K06167	K04762	K04567	K04485	K06921	K05499	K04759	K06901	K14170	
K04069	K06168	K04763	K04751	K04486	K06923	K05515	K04761	K06902	K14205	
K04075	K06173	K04764	K04759	K04516	K06925	K05516	K04762	K06923	K14260	
K04077	K06177	K04773	K04761	K04518	K06926	K05591	K04763	K06925	K14441	
K04078	K06178	K05306	K04762	K04564	K06928	K05592	K04764	K06940	K14623	
K04079	K06180	K05340	K04763	K04567	K06937	K05595	K04773	K06941	K15051	
K04084	K06187	K05349	K04764	K04751	K06940	K05601	K04940	K06942	K15511	
K04096	K06188	K05366	K04771	K04759	K06941	K05606	K05306	K06949	K15532	
K04485	K06199	K05515	K04773	K04761	K06942	K05776	K05340	K06950	K15580	
K04486	K06200	K05516	K05340	K04762	K06949	K05801	K05343	K06951	K15583	
K04516	K06201	K05520	K05349	K04763	K06950	K05807	K05349	K06958	K15633	
K04518	K06207	K05591	K05366	K04764	K06952	K05808	K05366	K06959	K15634	
K04564	K06213	K05592	K05367	K04773	K06958	K05810	K05367	K06960	K15830	
K04567	K06217	K05595	K05515	K05306	K06959	K05837	K05396	K06967	K15984	
K04720	K06223	K05601	K05516	K05340	K06960	K05936	K05499	K06969	K15986	
K04750	K06287	K05606	K05520	K05349	K06966	K05946	K05515	K06972	K16210	
K04751	K06373	K05770	K05591	K05366	K06967	K05970	K05516	K06973	K16785	
K04757	K06381	K05776	K05592	K05367	K06969	K05988	K05520	K06997	K16786	
K04759	K06518	K05800	K05595	K05499	K06972	K05989	K05592	K07003	K16787	
K04761	K06861	K05801	K05601	K05515	K06973	K06001	K05595	K07005	K16927	
K04762	K06871	K05807	K05606	K05516	K06993	K06041	K05601	K07007	K17073	
K04763	K06872	K05808	K05776	K05520	K06997	K06042	K05606	K07009	K17074	
K04764	K06881	K05810	K05783	K05591	K07003	K06076	K05776	K07010	K17076	
K04771	K06885	K05837	K05800	K05592	K07005	K06079	K05785	K07011	K17250	
K04773	K06889	K05936	K05807	K05595	K07007	K06113	K05800	K07012	K17722	
K05306	K06894	K05946	K05808	K05601	K07009	K06131	K05801	K07015	K17758	
K05340	K06897	K05970	K05810	K05606	K07011	K06142	K05807	K07023	K17759	
K05349	K06911	K05989	K05837	K05776	K07012	K06147	K05808	K07025	K17810	
K05366	K06920	K05995	K05970	K05783	K07015	K06153	K05810	K07027	K17828	
K05367	K06921	K06001	K05988	K05800	K07023	K06158	K05825	K07030	K18350	
K05499	K06925	K06019	K05989	K05807	K07025	K06167	K05837	K07033	K18682	
K05515	K06941	K06041	K06001	K05808	K07027	K06168	K05878	K07035	K18707	
K05516	K06942	K06042	K06041	K05810	K07030	K06173	K05879	K07040	K18918	
K05591	K06949	K06076	K06076	K05825	K07035	K06177	K05936	K07042	K18926	
K05592	K06950	K06079	K06079	K05837	K07040	K06178	K05970	K07043	K19221	
K05595	K06959	K06113	K06113	K05946	K07043	K06180	K05989	K07045	K19506	
K05601	K06966	K06131	K06131	K05970	K07056	K06187	K06001	K07052	K19507	
K05606	K06969	K06142	K06142	K05988	K07058	K06188	K06041	K07053	K19508	
K05776	K06970	K06147	K06143	K05989	K07079	K06199	K06042	K07056	K19509	
K05807	K06973	K06148	K06147	K06001	K07082	K06200	K06076	K07058	K19510	
K05808	K06975	K06153	K06153	K06041	K07088	K06201	K06131	K07069	K19689	
K05810	K06990	K06158	K06158	K06076	K07090	K06207	K06142	K07088	K20074	
K05837	K06997	K06167	K06167	K06079	K07095	K06213	K06147	K07089	K20265	
K05878	K07001	K06168	K06168	K06113	K07098	K06217	K06153	K07090	K20444	
K05879	K07005	K06173	K06173	K06131	K07105	K06223	K06155	K07095	K20449	
