Source	Target	Interaction	Interaction_magnitude_log
B_thetaiotaomicron	B_caccae	-	-11.776379981030756
B_vulgatus	B_caccae	-	-10.958245913292254
C_aerofaciens	B_caccae	-	-11.53673937900531
C_scindens	B_caccae	+	-13.197136063718741
C_spiroforme	B_caccae	-	-10.08415424396477
D_longicatena	B_caccae	-	-11.040518964819345
B_cellulosilyticus_WH2	B_caccae	-	-8.663526387476828
B_ovatus	B_caccae	-	-8.660031645636474
B_uniformis	B_caccae	-	-8.685540547334483
P_distasonis	B_caccae	-	-8.818886041567344
R_obeum	B_caccae	-	-8.720740405056473
B_caccae	B_thetaiotaomicron	+	-11.434498483789714
B_vulgatus	B_thetaiotaomicron	-	-11.10103431057387
C_aerofaciens	B_thetaiotaomicron	+	-13.969936996402609
C_scindens	B_thetaiotaomicron	+	-11.534653068705229
C_spiroforme	B_thetaiotaomicron	-	-10.102310374273387
D_longicatena	B_thetaiotaomicron	-	-11.223493346261174
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-8.667011931459232
B_ovatus	B_thetaiotaomicron	-	-8.663444739513013
B_uniformis	B_thetaiotaomicron	-	-8.689117721983928
P_distasonis	B_thetaiotaomicron	-	-8.820649137013932
R_obeum	B_thetaiotaomicron	-	-8.723801872695354
B_caccae	B_vulgatus	+	-10.943985225904704
B_thetaiotaomicron	B_vulgatus	+	-11.02887646310653
C_aerofaciens	B_vulgatus	+	-11.265714832895682
C_scindens	B_vulgatus	+	-10.954923224179025
C_spiroforme	B_vulgatus	-	-10.144626175595317
D_longicatena	B_vulgatus	+	-11.880120422642474
B_cellulosilyticus_WH2	B_vulgatus	-	-8.666987978554547
B_ovatus	B_vulgatus	-	-8.663465680304313
B_uniformis	B_vulgatus	-	-8.689366336783326
P_distasonis	B_vulgatus	-	-8.823582172376527
R_obeum	B_vulgatus	-	-8.725255781271455
B_caccae	C_aerofaciens	+	-9.9194149224982
B_thetaiotaomicron	C_aerofaciens	+	-9.926262454588102
B_vulgatus	C_aerofaciens	+	-9.969479383050482
C_scindens	C_aerofaciens	+	-9.95741233300276
C_spiroforme	C_aerofaciens	-	-10.380024585604255
D_longicatena	C_aerofaciens	+	-11.298832786645269
B_cellulosilyticus_WH2	C_aerofaciens	-	-8.672364443062925
B_ovatus	C_aerofaciens	-	-8.66866663319156
B_uniformis	C_aerofaciens	-	-8.688108565285727
P_distasonis	C_aerofaciens	-	-8.814725900374171
R_obeum	C_aerofaciens	-	-8.731157601721284
B_caccae	C_scindens	+	-10.94494506595562
B_thetaiotaomicron	C_scindens	+	-11.060263663608145
B_vulgatus	C_scindens	-	-12.394905495580995
C_aerofaciens	C_scindens	-	-11.618552319616429
C_spiroforme	C_scindens	-	-10.13584756451934
D_longicatena	C_scindens	-	-11.064982049861277
B_cellulosilyticus_WH2	C_scindens	-	-8.662952021481729
B_ovatus	C_scindens	-	-8.65940891392735
B_uniformis	C_scindens	-	-8.684831810598569
P_distasonis	C_scindens	-	-8.816147760843231
R_obeum	C_scindens	-	-8.720669993340897
B_caccae	C_spiroforme	-	-7.509362480601651
B_thetaiotaomicron	C_spiroforme	-	-7.508527582036255
B_vulgatus	C_spiroforme	-	-7.504056069799621
C_aerofaciens	C_spiroforme	-	-7.4841944435294785
C_scindens	C_spiroforme	-	-7.509202984225307
D_longicatena	C_spiroforme	-	-7.480709926332576
B_cellulosilyticus_WH2	C_spiroforme	-	-7.105168825237044
B_ovatus	C_spiroforme	-	-7.1043894979482705
B_uniformis	C_spiroforme	-	-7.123562991195895
P_distasonis	C_spiroforme	-	-7.16599887407387
R_obeum	C_spiroforme	-	-7.148991493869124
B_caccae	D_longicatena	+	-9.600021795319213
B_thetaiotaomicron	D_longicatena	+	-9.611236223698311
B_vulgatus	D_longicatena	+	-9.710368354519145
C_aerofaciens	D_longicatena	+	-9.84846795971867
C_scindens	D_longicatena	+	-9.618294455730116
C_spiroforme	D_longicatena	+	-10.28471617753735
B_cellulosilyticus_WH2	D_longicatena	-	-8.668313417067008
B_ovatus	D_longicatena	-	-8.665064627968842
B_uniformis	D_longicatena	-	-8.680528682751959
P_distasonis	D_longicatena	-	-8.81677602493451
R_obeum	D_longicatena	-	-8.732328554924637
B_caccae	B_cellulosilyticus_WH2	+	-8.893777894777426
B_thetaiotaomicron	B_cellulosilyticus_WH2	+	-8.897136059220413
B_vulgatus	B_cellulosilyticus_WH2	+	-8.897240261728417
C_aerofaciens	B_cellulosilyticus_WH2	+	-8.881442484242147
C_scindens	B_cellulosilyticus_WH2	+	-8.891536032794928
C_spiroforme	B_cellulosilyticus_WH2	+	-9.16761389295042
D_longicatena	B_cellulosilyticus_WH2	+	-8.884087159125055
B_ovatus	B_cellulosilyticus_WH2	-	-12.288917902789366
B_uniformis	B_cellulosilyticus_WH2	+	-10.416203127407414
P_distasonis	B_cellulosilyticus_WH2	+	-9.3239064537325
R_obeum	B_cellulosilyticus_WH2	+	-9.999422519700252
B_caccae	B_ovatus	+	-8.890528942859735
B_thetaiotaomicron	B_ovatus	+	-8.893900678528707
B_vulgatus	B_ovatus	+	-8.893733325772558
C_aerofaciens	B_ovatus	+	-8.878284085051552
C_scindens	B_ovatus	+	-8.888395967643426
C_spiroforme	B_ovatus	+	-9.169780045327304
D_longicatena	B_ovatus	+	-8.880692984127094
B_cellulosilyticus_WH2	B_ovatus	+	-11.931147720451936
B_uniformis	B_ovatus	+	-10.4203723541594
P_distasonis	B_ovatus	+	-9.324887100387622
R_obeum	B_ovatus	+	-9.996439046831398
B_caccae	B_uniformis	+	-8.863783983313674
B_thetaiotaomicron	B_uniformis	+	-8.867670895457321
B_vulgatus	B_uniformis	+	-8.864984994033783
C_aerofaciens	B_uniformis	+	-8.891535694142437
C_scindens	B_uniformis	+	-8.863211746827343
C_spiroforme	B_uniformis	+	-9.158982502722186
D_longicatena	B_uniformis	+	-8.890174104245848
B_cellulosilyticus_WH2	B_uniformis	+	-11.043899633488161
B_ovatus	B_uniformis	+	-11.152936445741302
P_distasonis	B_uniformis	+	-9.352747671773885
R_obeum	B_uniformis	+	-9.993985325244864
B_caccae	P_distasonis	+	-8.994829894258404
B_thetaiotaomicron	P_distasonis	+	-8.996100292150283
B_vulgatus	P_distasonis	+	-8.996475970785225
C_aerofaciens	P_distasonis	+	-9.047928968506891
C_scindens	P_distasonis	+	-8.998296981734466
C_spiroforme	P_distasonis	+	-9.421445809994813
D_longicatena	P_distasonis	+	-9.048034252001933
B_cellulosilyticus_WH2	P_distasonis	-	-9.269778624313275
B_ovatus	P_distasonis	-	-9.267265472281531
B_uniformis	P_distasonis	-	-9.269599111337891
R_obeum	P_distasonis	-	-9.392944946744556
B_caccae	R_obeum	+	-8.91408753388806
B_thetaiotaomicron	R_obeum	+	-8.916539470134321
B_vulgatus	R_obeum	+	-8.915811726883591
C_aerofaciens	R_obeum	+	-8.902853088826207
C_scindens	R_obeum	+	-8.911779667763513
C_spiroforme	R_obeum	+	-9.21818389738778
D_longicatena	R_obeum	+	-8.903928866928501
B_cellulosilyticus_WH2	R_obeum	-	-9.912976069384122
B_ovatus	R_obeum	-	-9.910338806556362
B_uniformis	R_obeum	-	-10.034081648401425
P_distasonis	R_obeum	+	-9.418465450430164
