	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum
B_caccae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4958929759931989e-09	1.4994047211733157e-09	1.515866687152095e-09	1.3832721837952636e-09	1.4834745562338815e-09
B_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.494214403708488e-09	1.4976512256293046e-09	1.513511289317464e-09	1.3827575652192787e-09	1.4819092015166144e-09
B_vulgatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4935711661874514e-09	1.4973104498845738e-09	1.5152801707418808e-09	1.3826961311602194e-09	1.4823867918232683e-09
C_aerofaciens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5040425442067325e-09	1.5075322634824612e-09	1.4983626996722826e-09	1.3551149629723468e-09	1.4912652379498492e-09
C_scindens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4968560267553802e-09	1.5001808725298993e-09	1.5154910232694743e-09	1.381351125303201e-09	1.4845262924210456e-09
C_spiroforme	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3282946472450005e-09	1.3246945640490933e-09	1.3322193964179061e-09	1.0353640957850264e-09	1.257622521872396e-09
D_longicatena	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5006172698115188e-09	1.5046766354109181e-09	1.497937074151665e-09	1.3545746221972838e-09	1.489416579481794e-09
B_cellulosilyticus_WH2	-1.8132146059551137e-09	-1.798584935088713e-09	-1.798179390838813e-09	-1.744112938454914e-09	-1.8093097283378863e-09	-1.7295737327720244e-09	-1.7398327857585675e-09	0.0	0.0	0.0	0.0	0.0
B_ovatus	-1.8327296722021698e-09	-1.8175027335916428e-09	-1.8168487406073571e-09	-1.7649547178716377e-09	-1.8295401718778063e-09	-1.7394004072524257e-09	-1.7601969384181736e-09	0.0	0.0	0.0	0.0	0.0
B_uniformis	-1.6767361758337672e-09	-1.6577841159933642e-09	-1.6553772287996158e-09	-1.6608938569261491e-09	-1.6707453504829461e-09	-1.6021584069169402e-09	-1.6507803184692075e-09	0.0	0.0	0.0	0.0	0.0
P_distasonis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2880894591913943e-09	1.2873417350224338e-09	1.2520088275589706e-09	0.0	1.2071979222907232e-09
R_obeum	-1.3862327350967733e-09	-1.3671019722731205e-09	-1.3574682249146194e-09	-1.2721928754842588e-09	-1.3718926008233358e-09	-1.1888875973908555e-09	-1.2627668031816458e-09	0.0	0.0	0.0	0.0	0.0
