	median	mean	25th percentile	75th percentile
B_caccae	-0.6335342905409129	-0.6706834715550791	-0.8027166080229449	-0.5111884246560792
B_cellulosilyticus_WH2	0.0	0.1499430397777964	0.0	0.23452010255705816
B_ovatus	0.0	0.2055846334986279	0.0	0.23611026340038305
B_thetaiotaomicron	-0.6301664362286514	-0.6663612117389139	-0.7987987536178842	-0.5074403108966279
B_uniformis	0.0	0.14595280425977114	0.0	0.22487565338483798
B_vulgatus	-0.6301751945852083	-0.6567649258287956	-0.7979528986670235	-0.5071952515334401
C_aerofaciens	-0.6318942686901606	-0.6617429474619064	-0.8008198956230372	-0.5081624875740731
C_scindens	-0.6336868493592087	-0.6730541715200995	-0.8029113198167567	-0.5113918837456737
C_spiroforme	-0.4369090131335856	-0.43017934104525096	-0.7703634839482569	0.0
D_longicatena	-0.629281883868289	-0.6222917690753146	-0.7969450922620257	-0.5052701575112761
P_distasonis	0.0	-0.12423655343904448	-0.551683937160854	0.1657565779979732
R_obeum	0.0	0.10707977906577246	0.0	0.22587971084977715
