Source	Target	Interaction	Interaction_magnitude_log
B_vulgatus	B_caccae	+	-12.07440639374098
C_aerofaciens	B_caccae	+	-10.195423294611802
C_scindens	B_caccae	+	-12.07440639374098
C_spiroforme	B_caccae	+	-10.601923438710926
B_cellulosilyticus_WH2	B_caccae	+	-9.66992571805285
B_ovatus	B_caccae	+	-9.621209050433974
P_distasonis	B_caccae	+	-9.66992571805285
R_obeum	B_caccae	+	-9.66992571805285
D_longicatena	B_caccae	+	-9.726029278096672
B_vulgatus	B_thetaiotaomicron	+	-12.07440639374098
C_aerofaciens	B_thetaiotaomicron	-	-11.247832952185114
C_scindens	B_thetaiotaomicron	+	-12.07440639374098
C_spiroforme	B_thetaiotaomicron	+	-11.125207030831938
B_cellulosilyticus_WH2	B_thetaiotaomicron	-	-10.70539408216588
B_ovatus	B_thetaiotaomicron	-	-10.70539408216588
P_distasonis	B_thetaiotaomicron	-	-10.70539408216588
R_obeum	B_thetaiotaomicron	-	-10.70539408216588
D_longicatena	B_thetaiotaomicron	-	-10.681196654051924
B_caccae	B_uniformis	+	-11.532162159602128
B_vulgatus	B_uniformis	+	-10.676347409769958
C_aerofaciens	B_uniformis	+	-9.986110787102449
C_spiroforme	B_uniformis	+	-10.04464824611594
B_cellulosilyticus_WH2	B_uniformis	+	-9.4124994567988
B_ovatus	B_uniformis	+	-9.404841926157236
P_distasonis	B_uniformis	+	-9.4124994567988
R_obeum	B_uniformis	+	-9.479364424264668
D_longicatena	B_uniformis	+	-9.695074858858623
B_caccae	B_vulgatus	-	-11.842985271464267
B_uniformis	B_vulgatus	-	-11.842985271464267
C_aerofaciens	B_vulgatus	+	-11.339795899820992
C_spiroforme	B_vulgatus	+	-11.056617372477746
B_cellulosilyticus_WH2	B_vulgatus	+	-10.759815635458882
B_ovatus	B_vulgatus	+	-10.614998336152517
P_distasonis	B_vulgatus	+	-10.759815635458882
R_obeum	B_vulgatus	+	-10.759815635458882
D_longicatena	B_vulgatus	+	-10.824470955472863
B_caccae	C_aerofaciens	+	-10.564200309694133
B_thetaiotaomicron	C_aerofaciens	-	-10.494428364697514
B_uniformis	C_aerofaciens	-	-10.316080399811163
B_vulgatus	C_aerofaciens	-	-12.499148389307795
C_scindens	C_aerofaciens	-	-10.432919722830778
C_spiroforme	C_aerofaciens	+	-10.40053950748172
B_cellulosilyticus_WH2	C_aerofaciens	-	-10.012372544586835
B_ovatus	C_aerofaciens	-	-10.012372544586835
P_distasonis	C_aerofaciens	-	-10.012372544586835
R_obeum	C_aerofaciens	-	-9.904649687398003
D_longicatena	C_aerofaciens	-	-9.663687254940463
B_thetaiotaomicron	C_scindens	+	-11.865408295612848
B_vulgatus	C_scindens	-	-11.006400321181275
C_aerofaciens	C_scindens	+	-10.216579111914593
C_spiroforme	C_scindens	+	-10.144649169651471
B_cellulosilyticus_WH2	C_scindens	+	-9.36840000552277
B_ovatus	C_scindens	+	-9.357033137827017
P_distasonis	C_scindens	+	-9.242985054194241
R_obeum	C_scindens	+	-9.428340624410042
D_longicatena	C_scindens	+	-10.127903750108498
B_caccae	C_spiroforme	-	-9.108478383081247
B_uniformis	C_spiroforme	-	-10.23873066116262
B_vulgatus	C_spiroforme	+	-12.07440639374098
C_aerofaciens	C_spiroforme	+	-9.236722199666586
C_scindens	C_spiroforme	-	-9.530677753000523
B_cellulosilyticus_WH2	C_spiroforme	+	-8.42847680518466
B_ovatus	C_spiroforme	+	-8.739646673589919
P_distasonis	C_spiroforme	+	-8.739646673589919
R_obeum	C_spiroforme	+	-8.739646673589919
D_longicatena	C_spiroforme	-	-9.114863256738452
B_caccae	B_cellulosilyticus_WH2	-	-12.28914106633244
B_uniformis	B_cellulosilyticus_WH2	-	-12.28914106633244
B_vulgatus	B_cellulosilyticus_WH2	+	-12.348944385511192
B_caccae	B_ovatus	-	-12.28914106633244
B_uniformis	B_ovatus	-	-12.28914106633244
B_vulgatus	B_ovatus	+	-12.348944385511192
B_caccae	P_distasonis	-	-12.28914106633244
B_uniformis	P_distasonis	-	-12.28914106633244
B_vulgatus	P_distasonis	+	-12.348944385511192
B_caccae	R_obeum	-	-12.28914106633244
B_uniformis	R_obeum	-	-12.28914106633244
B_vulgatus	R_obeum	+	-12.348944385511192
B_caccae	D_longicatena	+	-8.04944554082508
B_thetaiotaomicron	D_longicatena	+	-7.84230038181009
B_uniformis	D_longicatena	+	-7.9943407462303675
B_vulgatus	D_longicatena	+	-7.926992171556938
C_aerofaciens	D_longicatena	+	-7.570586024030989
C_scindens	D_longicatena	+	-8.018929707024816
C_spiroforme	D_longicatena	+	-7.688273839837234
B_cellulosilyticus_WH2	D_longicatena	+	-7.426022288393414
B_ovatus	D_longicatena	+	-7.395451604530429
P_distasonis	D_longicatena	+	-7.416736947576312
R_obeum	D_longicatena	+	-7.3793701577480615
