Source	Target	mean	median	mode	std	ci_l	ci_u	bayes_factors
B_thetaiotaomicron	C_scindens	3.3749206711007554e-09	3.1441003965798237e-09	2.102147724648444e-09	1.9776008609214105e-09	-2.267907764329822e-10	7.084963231602462e-09	0.2177709067855991
B_thetaiotaomicron	C_spiroforme	-9.41102306398551e-10	-1.4556663812948522e-09	-2.376811842353917e-09	1.6472270519692112e-09	-3.272119684859981e-09	1.994397035763924e-09	0.06357392135505813
B_thetaiotaomicron	P_distasonis	-1.926088254918556e-10	-1.005873435916501e-11	-2.5027073540971425e-09	1.4293393392064607e-09	-2.5027073540971425e-09	2.638114172268569e-09	0.04400880176035207
B_thetaiotaomicron	R_obeum	-3.436470783579995e-09	-3.604609380687716e-09	-4.23063666453102e-09	1.4043285382979148e-09	-6.086011130293494e-09	-3.4647928648250386e-11	0.43597336955311616
B_uniformis	B_caccae	4.049507581386023e-09	4.542219452276657e-09	4.331688527919817e-09	4.212290471310902e-09	-6.313671553195967e-09	1.075019209387808e-08	0.25941664627227623
B_uniformis	B_cellulosilyticus_WH2	7.538951036751042e-09	7.576126942989692e-09	5.8799878990495445e-09	3.2900695539036178e-09	6.128137222305014e-10	1.4044350208040411e-08	1.5111986217080975
B_uniformis	B_ovatus	3.3566086508608796e-09	4.178203520382207e-09	6.315736189307778e-09	4.88781512254533e-09	-7.466983476329742e-09	1.0636401094600579e-08	0.31088313509062787
B_uniformis	B_thetaiotaomicron	5.85874819441704e-09	5.862251651811957e-09	6.215169700763222e-09	3.2306934631559453e-09	-9.93061844310338e-10	1.160905331517828e-08	0.5390955669414124
B_uniformis	B_vulgatus	7.136746995093719e-09	7.080961236224452e-09	6.428689036402795e-09	2.933753781673736e-09	9.374574627864706e-10	1.3232617577271117e-08	1.9706057106983106
B_uniformis	C_aerofaciens	8.91091991628503e-09	8.78180246942847e-09	8.611406001787938e-09	3.4439132997113993e-09	2.2685365464275983e-09	1.54947629672904e-08	2.8098801552917347
B_uniformis	C_scindens	7.596272036156604e-09	7.401006246202188e-09	7.394760528193071e-09	4.1996209463136526e-09	1.9930359993649244e-10	1.675615976689461e-08	0.4163419792942224
B_uniformis	C_spiroforme	-6.294718715176763e-09	-6.098671928998715e-09	-7.704147860964104e-09	4.169325427962414e-09	-1.6786715600171523e-08	1.7321327545354095e-09	0.31088313509062787
B_uniformis	P_distasonis	8.396402946052224e-09	8.423588089286925e-09	8.336673879051559e-09	3.0831424442413147e-09	2.266686395216657e-09	1.46630595762314e-08	2.672064777327935
B_uniformis	R_obeum	4.291106088570582e-09	4.43807062387254e-09	3.784455926463792e-09	3.3809483928570687e-09	-3.6769947075465627e-09	1.0132610447865202e-08	0.23001801881965608
B_vulgatus	B_caccae	2.683152177666255e-09	2.578263117773801e-09	2.0361380450211827e-09	1.0546250216474183e-09	8.767514185814341e-10	5.1424414117128096e-09	2.257144781447141
B_vulgatus	B_cellulosilyticus_WH2	1.527767400828757e-09	1.575033633775048e-09	1.2193667910999844e-09	7.28793194737439e-10	-4.921827801003362e-10	3.108249833075674e-09	0.14186920459851904
B_vulgatus	B_ovatus	-2.1566219496810695e-09	-2.175128634310925e-09	-1.8759703417884418e-09	7.290846568250317e-10	-3.4504921925467855e-09	-8.16510333365148e-10	1.997981836528759
B_vulgatus	B_thetaiotaomicron	2.6488795069125266e-09	2.658130924125383e-09	2.9857759566297558e-09	8.583390464193746e-10	9.68841205438206e-10	4.310280987447654e-09	2.659544560022491
B_vulgatus	B_uniformis	2.1556917983805526e-10	3.4746599429183774e-10	5.022096582833379e-10	6.616461782280281e-10	-8.193181334571839e-10	1.5834596697074012e-09	0.029337244965995466
B_vulgatus	C_aerofaciens	2.936070896556045e-09	3.0630960177721718e-09	3.980482744958865e-09	1.183182342908195e-09	-3.742180018907488e-11	4.53356745339834e-09	0.3010781401248373
B_vulgatus	C_scindens	2.841548077580419e-09	2.8541800829526776e-09	2.6766959031957234e-09	9.739361787864003e-10	9.827196230779776e-10	4.7028428250928195e-09	2.157395148441532
B_vulgatus	C_spiroforme	1.0832740888606106e-09	1.2810407933795686e-09	1.4521153070631874e-09	7.77760310713934e-10	-3.844525728862217e-10	2.0973959135318987e-09	0.0488997555012225
B_vulgatus	P_distasonis	-1.4154580762309254e-09	-1.779182596416088e-09	-2.3223189922592322e-09	9.216573081005603e-10	-2.5732939761648853e-09	1.0778415879796477e-09	0.09537466235368659
B_vulgatus	R_obeum	-7.504521466300548e-10	-8.325114591276567e-10	-1.8460456218855662e-09	7.776166956638148e-10	-2.0530942927332453e-09	1.0609610926913098e-09	0.07091173822676196
C_aerofaciens	B_caccae	4.208692941892843e-08	4.255075418330212e-08	4.342208358416747e-08	3.1580948267665336e-08	-2.1064441626683762e-08	1.0413944330378185e-07	2.2796007948179664
C_aerofaciens	B_cellulosilyticus_WH2	2.96365390854389e-08	2.93987181416817e-08	2.5126703137753728e-08	2.974006960286672e-08	-3.322906469466252e-08	8.637534225078682e-08	1.332916005276219
C_aerofaciens	B_ovatus	-5.481112232777916e-08	-5.477041388118532e-08	-5.508927075941788e-08	2.9139685738011565e-08	-1.1866237862796298e-07	6.250379157356443e-09	6.303818591201582
C_aerofaciens	B_thetaiotaomicron	4.81014452962608e-08	4.770366681604174e-08	3.688546719579913e-08	2.872332223070881e-08	-1.1161936641252016e-08	1.0400029453057625e-07	3.3527732969351036
C_aerofaciens	B_uniformis	2.6070775037173788e-08	2.6972641681723014e-08	3.1458400744386065e-08	3.661092588904812e-08	-4.947790495031051e-08	9.87789658736088e-08	1.238938053097345
C_aerofaciens	B_vulgatus	5.564159927026002e-08	5.574452957105682e-08	4.566929841435643e-08	3.02280108765489e-08	-5.851941219061288e-09	1.172867565145872e-07	5.340571545631466
C_aerofaciens	C_scindens	5.8948350220958304e-08	5.864490025399602e-08	5.99900452636214e-08	3.101432215478807e-08	3.177328311760487e-09	1.2192323138372098e-07	5.870113277284083
C_aerofaciens	C_spiroforme	-1.2065111878767561e-08	-1.1250538238438522e-08	-1.1872295195270661e-08	3.2391987342844946e-08	-7.074070969158904e-08	4.4399662355548716e-08	0.8539686788917147
C_aerofaciens	P_distasonis	1.7056498960355514e-08	1.7268302037917125e-08	1.609116931442399e-08	3.25104884294565e-08	-4.95196330138389e-08	8.007299756954867e-08	1.0660295201304066
C_aerofaciens	R_obeum	-1.3254506304343247e-08	-1.3662718130853967e-08	-1.0255719132564239e-08	4.152947401218077e-08	-9.594618517154449e-08	6.83925002883068e-08	1.2364660267941943
C_scindens	B_caccae	6.763278976169869e-09	9.096462035242416e-09	1.3353984772613056e-08	1.1372155686474979e-08	-1.711252917430915e-08	2.595607585027492e-08	0.5956081419833551
C_scindens	B_cellulosilyticus_WH2	-1.0360169567039459e-08	-1.0898960410171679e-08	-1.4793282859073199e-08	9.650884213301864e-09	-2.8826384237974306e-08	8.118269776490778e-09	0.6619859578736209
C_scindens	B_ovatus	-1.981331248662135e-08	-1.9295678625315892e-08	-1.7131329606431834e-08	7.585814339843081e-09	-3.597160586144867e-08	-6.5412594213401535e-09	14.419397613184316
C_scindens	B_thetaiotaomicron	3.2036392186694143e-10	2.592628196285075e-09	3.682428353032179e-09	1.2406975331760824e-08	-2.615780910523842e-08	2.343727596667616e-08	0.485067147724995
C_scindens	B_uniformis	-7.610131947692591e-10	-1.3438111055953852e-09	-4.7537076392295635e-09	8.387021717996136e-09	-1.636107938872113e-08	1.3552838712654509e-08	0.2863722839691599
C_scindens	B_vulgatus	5.199836286967124e-10	2.4502559118658113e-09	6.538666569496914e-09	1.5245731918280392e-08	-2.65828913387377e-08	2.6521336914287543e-08	0.634938322505878
C_scindens	C_aerofaciens	-1.2298588783071768e-09	-5.882592311253677e-10	-9.263315604813513e-10	1.1940068524266847e-08	-2.214157876210346e-08	2.5095642786240652e-08	0.33539944137186606
C_scindens	C_spiroforme	-5.465252242807481e-10	-1.0326862626546244e-09	-2.912339706657736e-09	8.61211548381714e-09	-1.704958889703321e-08	1.5707786970961622e-08	0.2741189035243859
C_scindens	P_distasonis	-4.690658525389229e-09	-5.194135175477661e-09	-8.474152632855256e-09	8.977594480542115e-09	-2.0034459454416388e-08	1.347690897055656e-08	0.38444842669990986
C_scindens	R_obeum	-1.7760596636826302e-08	-1.817775940661393e-08	-2.001492621714506e-08	1.0172575721128878e-08	-3.819131978619899e-08	2.4618758105746866e-09	1.5558141616686063
C_spiroforme	B_caccae	-1.1859786769369643e-07	-1.1364003595219886e-07	-1.6235340116178617e-07	9.334978845882405e-08	-3.086055386426974e-07	4.3090893159576065e-08	4.441446853852344
C_spiroforme	B_cellulosilyticus_WH2	-8.225890717273947e-08	-7.143111432666384e-08	-4.7223300868247286e-08	8.198800457877014e-08	-2.57605009275754e-07	5.26178327165016e-08	2.7898236809829755
C_spiroforme	B_ovatus	-1.130907140346713e-07	-1.120105354821059e-07	-1.189562429095944e-07	7.900247044269047e-08	-2.7378262960735154e-07	3.3689282022439447e-08	5.1842416522609405
C_spiroforme	B_thetaiotaomicron	-1.2429659849704615e-07	-1.2454877778773537e-07	-1.3683152213094182e-07	8.6228031911475e-08	-2.94975041617943e-07	2.7181508459477976e-08	4.456712729416299
C_spiroforme	B_uniformis	-2.473331468674483e-08	-2.3037744764173235e-08	-2.768132620916715e-08	6.894593506970527e-08	-1.7156003287538766e-07	1.3509065208724213e-07	1.6029278447436457
C_spiroforme	B_vulgatus	-8.882961144169385e-08	-7.85781062628308e-08	-7.184832746175278e-08	8.717912934206225e-08	-2.703400754208067e-07	5.684836719707466e-08	2.847495779403489
C_spiroforme	C_aerofaciens	-4.737617690261908e-08	-2.7486595914325533e-08	-3.033519229740806e-08	9.322515562613027e-08	-3.122008675881277e-07	8.707580400198266e-08	1.6153295128939829
C_spiroforme	C_scindens	-5.4703074199428045e-08	-4.0287908409648884e-08	-2.751663147783514e-08	8.201085152178803e-08	-2.39568970340617e-07	7.476612223797149e-08	1.7866143937272472
C_spiroforme	P_distasonis	-2.6057437527577164e-08	-2.0685597076311466e-08	-2.043767135076493e-09	6.533575169972109e-08	-1.8817908288966937e-07	7.99595791015839e-08	1.4269738313576381
C_spiroforme	R_obeum	-3.047239615291732e-08	-2.7039844801053487e-08	-1.7207970347287004e-08	5.95113508085732e-08	-1.6415620110178236e-07	7.488750615799128e-08	1.5706900024618966
P_distasonis	B_caccae	5.556019321481013e-09	5.797077118323689e-09	4.17272039052306e-09	4.260732385750382e-09	-5.517162534290371e-09	1.4196605350366061e-08	0.42370334086633193
P_distasonis	B_cellulosilyticus_WH2	5.707170279878614e-09	6.020258107046084e-09	4.6554692477256975e-09	3.974162161548274e-09	-2.7780079567457077e-09	1.3143710812847133e-08	0.29127401786807
P_distasonis	B_ovatus	-6.48186425088231e-09	-6.696584867548025e-09	-6.522459583845563e-09	3.5601529839415148e-09	-1.3180347576238988e-08	1.4661067856824398e-09	0.44333604248544295
P_distasonis	B_thetaiotaomicron	8.643082062082113e-09	8.54947224161207e-09	5.789768117336812e-09	3.667503226104825e-09	2.22611782880573e-09	1.6262000950007663e-08	2.6069750185505813
P_distasonis	B_uniformis	-3.9640835059785506e-09	-3.391481152731838e-09	-5.6488987967341195e-09	5.208996893309697e-09	-1.7806940383563977e-08	4.872911683460873e-09	0.17614091273018415
P_distasonis	B_vulgatus	1.0922795843971253e-08	1.0842603466723994e-08	1.1219749327770649e-08	3.6136351811080204e-09	4.259406432909153e-09	1.8332268745665028e-08	15.087386018237082
P_distasonis	C_aerofaciens	1.1813193068310066e-08	1.1692911905973893e-08	1.012462237576421e-08	4.500930188212703e-09	3.021821062853409e-09	2.1065203545537756e-08	4.134027620556939
P_distasonis	C_scindens	1.0137816114575763e-08	9.997167805001289e-09	1.0003351139875234e-08	3.967614758661445e-09	3.0189966991889215e-09	1.923032419344042e-08	5.125353890234335
P_distasonis	C_spiroforme	-2.5754016996499654e-09	-2.5721251598414674e-09	-8.12461089295645e-10	3.4781451472205786e-09	-8.995124686442528e-09	5.579865555488548e-09	0.15655577299412915
P_distasonis	R_obeum	-4.1749989135476044e-09	-4.534312852381778e-09	-3.0410499624135168e-09	3.868765229386442e-09	-1.0821928344558467e-08	4.562152408234972e-09	0.19572953736654805
R_obeum	B_caccae	7.166034939631938e-09	8.303679727802425e-09	8.64530145982131e-09	6.585036556775398e-09	-9.884917921569548e-09	1.7812442088239577e-08	0.5047107824576252
R_obeum	B_cellulosilyticus_WH2	1.2310692628599986e-08	1.2554409272172987e-08	1.1175572582564652e-08	4.80421925320197e-09	1.664683678439462e-09	2.181903442221646e-08	2.3195338026745715
R_obeum	B_ovatus	-6.792813238717952e-09	-7.630872476105336e-09	-1.5175453296964753e-08	7.707717734803606e-09	-1.922689536831325e-08	1.1294383092061913e-08	0.4408817635270541
R_obeum	B_thetaiotaomicron	9.697967728432037e-09	8.99781680596522e-09	6.641065633036301e-09	5.365377268792451e-09	1.1781946292968539e-09	2.3452820660887862e-08	1.115404373171331
R_obeum	B_uniformis	9.041528210076965e-09	9.801597637045016e-09	1.2654628501106482e-08	6.964381470027726e-09	-5.9676824009945455e-09	2.2191492763203262e-08	0.485067147724995
R_obeum	B_vulgatus	1.1135631739778859e-08	1.1093590676147792e-08	9.303156165532023e-09	4.593248750894763e-09	2.680861184871473e-09	2.0370884099875968e-08	3.179061746207083
R_obeum	C_aerofaciens	1.4289933241324973e-08	1.4258391568227028e-08	1.3249495864069778e-08	4.783489674902526e-09	5.086992807146172e-09	2.3858041679690442e-08	10.18438001348555
R_obeum	C_scindens	1.009181418303164e-08	9.692003140075747e-09	9.991205351659764e-09	5.232561032947167e-09	5.865490293459375e-10	2.259723725265994e-08	1.858682742083679
R_obeum	C_spiroforme	-3.817511353766918e-09	-4.0525119236911375e-09	-6.315142198363861e-09	3.7047356523644966e-09	-1.0824910500781297e-08	3.979376163228474e-09	0.22266958813911844
R_obeum	P_distasonis	1.1891013652485154e-08	1.1911558222412594e-08	9.918892465462835e-09	4.6297859162376674e-09	2.51240637111642e-09	2.0948432465094004e-08	3.632790440262938
