	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	-1.9710159658529632e-09	-1.963362574796767e-09	0.0	-1.7380542036863084e-09	-1.9669884653812584e-09	-1.4687768767337979e-09	-2.0602633118710926e-09
B_ovatus	0.0	0.0	0.0	0.0	0.0	-2.0370249364359457e-09	-2.0306742737132735e-09	0.0	-1.796155698287489e-09	-2.0281997052187172e-09	-1.5754700467543205e-09	-2.123531851214758e-09
B_uniformis	0.0	0.0	0.0	0.0	0.0	-1.940307273050847e-09	-1.9368997981164044e-09	0.0	-1.6986202511501286e-09	-1.9321802625240144e-09	-1.4240549241700349e-09	-1.9430304732332433e-09
P_distasonis	1.4248870638956772e-09	1.4770332942240894e-09	1.4224322890640566e-09	0.0	1.361103224456706e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_obeum	0.0	0.0	0.0	0.0	0.0	-1.2744004908824087e-09	-1.2694477219032086e-09	0.0	0.0	-1.2722555195976225e-09	0.0	-1.3531038453112016e-09
B_caccae	1.4914346578569448e-09	1.4876546591520187e-09	1.501447656701714e-09	1.3082210642629783e-09	1.501724824676428e-09	0.0	0.0	8.381932923750789e-10	0.0	0.0	0.0	0.0
B_thetaiotaomicron	1.4901074553035311e-09	1.4874363840649376e-09	1.502078531588505e-09	1.3077107760556655e-09	1.5039002156272508e-09	0.0	0.0	8.420936534310231e-10	0.0	0.0	0.0	0.0
B_vulgatus	1.4672280103813023e-09	1.5014388603408226e-09	1.487835260333404e-09	1.119701146983125e-09	1.4375639262086672e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_aerofaciens	1.5185603027031463e-09	1.5416176575355105e-09	1.5229414568740716e-09	1.2484118687318592e-09	1.4853370603497567e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_scindens	1.4958203601685338e-09	1.4974578095689255e-09	1.509024514642862e-09	1.3090226491488118e-09	1.505655929596511e-09	0.0	0.0	8.33323217703752e-10	0.0	0.0	0.0	0.0
D_longicatena	1.5073178014681288e-09	1.52719902404088e-09	1.508141066690852e-09	1.2074013422027056e-09	1.4631812548211497e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_spiroforme	1.1280191146564288e-09	1.1252988546317262e-09	1.1406552139398793e-09	4.6349381279894234e-10	1.141144618967573e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
