Node	Self_interaction_mag_log
Bca	-8.280114563459064
Bce	-8.883129364190845
Bov	-7.662733691222551
Bth	-7.811490595801266
Bun	-7.732664952362384
Bvu	-8.317414478366302
Cae	-6.485810538595569
Csc	-7.057280307793939
Csp	-6.057890805717052
Pdi	-7.408261651253576
Rob	-7.271249307284054
