	median	mean	25th percentile	75th percentile
B_caccae	-0.3728258698082315	-0.33603738187446597	-0.46674125671733074	-0.24530248375463057
B_cellulosilyticus_WH2	1.6352561614967485	1.7481316947429035	1.2160091112927887	2.12649900504638
B_ovatus	14.89175632734267	19.755819376185208	6.259080115514232	27.97348593423404
B_thetaiotaomicron	0.0	-0.020220779015071733	0.0	0.0
B_uniformis	1.3496959062518004	1.4339422285018257	0.7572208667399621	1.932006204147648
B_vulgatus	0.0	-0.03055194879678578	0.0	0.0
C_aerofaciens	0.0	0.20169192933694616	0.0	0.0
C_scindens	0.0	-0.1357869030180523	0.0	0.0
C_spiroforme	-0.575014800620547	-0.5310444136499918	-0.7594466381195125	0.0
P_distasonis	0.8030678110026974	0.8669043809313706	0.0	1.3802842536686406
R_obeum	1.0829591854427756	1.095261228676849	0.38243124961986635	1.620078212817794
