ExcludedCluster	SampleIdx	Ky
0	0	0.0
0	10	0.0
0	20	0.0
0	30	-0.002749863058059031
0	40	0.0
0	50	0.0015463669659324967
0	60	-0.005008810394094257
0	70	-0.012452158520892502
0	80	0.003674594375060458
0	90	-0.014663600297983415
0	100	-0.011946611328946104
0	110	-0.01915044147821433
0	120	-0.008367054970731919
0	130	-0.01814847542565865
0	140	0.0
0	150	0.0
0	160	0.0
0	170	0.0
0	180	0.0
0	190	0.0
0	200	0.0
0	210	0.0
0	220	0.0
0	230	-0.007604472451613311
0	240	0.012787990381669606
0	250	0.002761958789361817
0	260	-0.016426935685634157
0	270	0.0
0	280	-0.0014595399527728148
0	290	0.0
0	300	0.0
0	310	0.0
0	320	0.0
0	330	0.0
0	340	0.0
0	350	0.0
0	360	0.0
0	370	0.0
0	380	0.0
0	390	-0.0008514945759251189
0	400	0.0
0	410	0.0
0	420	0.0
0	430	0.0
0	440	0.0
0	450	0.0
0	460	0.0
0	470	0.004723053830869391
0	480	-0.0014275275173744556
0	490	-0.0020443073815580607
0	500	0.002748852583622058
0	510	0.0
0	520	0.0
0	530	0.0
0	540	0.0
0	550	0.0
0	560	0.0
0	570	-0.015036253034851121
0	580	0.0
0	590	-0.0018336998535263373
0	600	0.024811808139958928
0	610	0.013378520812373522
0	620	-0.0027234916746908507
0	630	-0.010979449826480157
0	640	0.004234939803147758
0	650	0.013454007741391423
0	660	0.0
0	670	0.0
0	680	0.0
0	690	0.0
0	700	0.0
0	710	0.0025236980376371998
0	720	0.0
0	730	0.0013792404068851253
0	740	0.0
0	750	0.014361792211104703
0	760	0.0
0	770	0.0
0	780	0.0
0	790	-0.05341420154808674
0	800	0.0
0	810	0.0
0	820	0.0
0	830	0.0
0	840	0.0022076348560282418
0	850	0.0
0	860	0.0
0	870	-0.020737601763070934
0	880	-0.01076523310546444
0	890	-0.010193472207597669
0	900	-0.010155253380660832
0	910	-0.011064454626663127
0	920	-0.013846499577547274
0	930	-0.0071981518698515405
0	940	-0.003104213685769075
0	950	-0.021671098636151163
0	960	-0.018715173332210986
0	970	-0.0030121910290539233
0	980	0.0007151094267510351
0	990	0.0011391555781267665
0	1000	0.017949788225918247
0	1010	0.0
0	1020	0.0
0	1030	0.0
0	1040	0.0
0	1050	-0.008860040995714772
0	1060	-0.008391987625417001
0	1070	-0.014025988297137233
0	1080	0.0
0	1090	0.0
0	1100	0.016341959048943252
0	1110	0.010722654169690558
0	1120	-0.003070279298042519
0	1130	-0.00663457365729083
0	1140	0.0008432417839357695
0	1150	0.0
0	1160	0.0
0	1170	0.0
0	1180	0.0
