ExcludedCluster	SampleIdx	Ky
0	0	0.0
0	10	0.001656783088290492
0	20	0.0
0	30	0.0
0	40	0.0
0	50	0.0
0	60	0.0
0	70	0.010407243547113153
0	80	0.0
0	90	0.0
0	100	0.0
0	110	0.0
0	120	0.0
0	130	0.01006784414807127
0	140	0.0
0	150	0.0
0	160	0.0
0	170	0.0
0	180	0.0
0	190	0.0
0	200	0.0
0	210	-0.001828103625075439
0	220	0.0
0	230	0.0
0	240	0.0
0	250	-0.010485916691796682
0	260	-0.012883452771512172
0	270	0.0
0	280	0.0
0	290	0.0
0	300	0.007038000799432354
0	310	-0.0058257955521878735
0	320	-0.007507686598160657
0	330	0.0
0	340	0.0
0	350	0.0
0	360	0.0
0	370	0.0
0	380	0.0
0	390	0.0
0	400	0.005383040127920502
0	410	0.0
0	420	0.0
0	430	0.0
0	440	0.0
0	450	-0.012280707064601692
0	460	0.0
0	470	0.0
0	480	0.0
0	490	0.0
0	500	-0.006006691017368749
0	510	0.0
0	520	0.0
0	530	-0.0077912146667873826
0	540	0.0
0	550	0.0
0	560	0.0
0	570	0.02023947569059219
0	580	0.0
0	590	0.0
0	600	-0.011608984549538449
0	610	-0.004597712025611855
0	620	-0.008735986587376931
0	630	-0.0028581695020836405
0	640	0.004012631239631847
0	650	-0.025805034781316304
0	660	0.011186157038068245
0	670	0.0
0	680	0.0
0	690	0.0
0	700	0.0
0	710	0.0
0	720	-0.007259115633944102
0	730	0.0
0	740	0.0
0	750	0.0015384086623715376
0	760	0.0
0	770	0.0
0	780	0.0
0	790	0.0
0	800	0.0
0	810	0.00043785411437502475
0	820	0.0
0	830	0.0
0	840	-0.011909273413059297
0	850	0.004228977494878538
0	860	0.0
0	870	0.0
0	880	0.014310509852633668
0	890	0.0
0	900	0.0
0	910	0.0
0	920	0.0
0	930	0.0
0	940	0.0
0	950	0.0
0	960	0.0
0	970	0.0
0	980	0.0
0	990	0.0
0	1000	0.0
0	1010	0.0
0	1020	0.0
0	1030	0.0
0	1040	0.0
0	1050	0.0
0	1060	0.0
0	1070	0.0
0	1080	0.0
0	1090	0.0
0	1100	0.0
0	1110	0.0
0	1120	0.00781991827734716
0	1130	0.0
0	1140	0.0
0	1150	0.0
0	1160	0.0023090611793652903
0	1170	0.0
0	1180	0.0
0	1190	0.0
0	1200	0.0022563093139801537
0	1210	0.0
0	1220	0.0
0	1230	0.0028478568687260617
0	1240	0.0
0	1250	0.0
0	1260	0.0
0	1270	0.0
0	1280	0.0
0	1290	0.0
0	1300	0.0
0	1310	-0.002240776575755099
0	1320	0.0
0	1330	0.0
0	1340	0.0
0	1350	0.0
0	1360	0.0
0	1370	0.0
0	1380	0.0
0	1390	0.0
0	1400	0.0
0	1410	-0.004416966687530799
0	1420	0.0
0	1430	-0.002858241572080189
0	1440	0.0
0	1450	0.01755567516788963
0	1460	0.185377302765468
0	1470	-0.006570399853139719
0	1480	0.0
0	1490	0.0
0	1500	0.0
0	1510	0.0
0	1520	0.0
0	1530	-0.0035741894240198134
0	1540	0.0
0	1550	0.0
0	1560	0.0
0	1570	0.0
0	1580	0.0
0	1590	0.0
0	1600	0.0
0	1610	0.0
0	1620	0.0
0	1630	0.0
0	1640	0.0
0	1650	0.0
0	1660	0.0
0	1670	0.0
0	1680	0.0
0	1690	0.0
0	1700	0.0
0	1710	-0.005903219178369934
0	1720	-0.003248507346183427
0	1730	-0.007007598209585808
0	1740	-0.011440030588981288
0	1750	-0.015166714991704211
0	1760	-0.00027723138083874944
0	1770	0.002278419675076293
0	1780	-0.001997635738698733
0	1790	0.0
0	1800	0.00047697916435973653
0	1810	0.0
0	1820	0.0
0	1830	0.0
0	1840	0.0
0	1850	0.0
0	1860	0.0
0	1870	-0.011062544860478685
0	1880	0.02455536253692552
0	1890	0.00700813744430544
0	1900	0.012085164651577607
0	1910	0.012828250453517853
0	1920	0.0
0	1930	0.0
0	1940	0.0
0	1950	0.0
0	1960	0.0
0	1970	0.0
0	1980	0.0
0	1990	0.0
0	2000	0.0
0	2010	0.0
0	2020	0.0
0	2030	-0.011604593790554141
0	2040	-0.007096952741654583
0	2050	0.0
0	2060	0.0
0	2070	0.0
0	2080	0.0
0	2090	0.0
0	2100	0.0
0	2110	-0.013509872036312043
0	2120	0.0
0	2130	0.0
0	2140	0.0
0	2150	0.0
0	2160	0.0
0	2170	0.0
0	2180	0.0
0	2190	0.0
0	2200	-0.011163303217310095
0	2210	-0.01143980843829553
0	2220	0.0
0	2230	0.0
0	2240	0.015100988470569288
0	2250	-0.000390240805019193
0	2260	0.0
0	2270	0.01001982691639416
0	2280	-0.007335220584270896
0	2290	0.0
0	2300	0.0055799878785381726
0	2310	0.0
0	2320	-0.03017385674219728
0	2330	-0.0013910585975811073
0	2340	0.0
0	2350	0.0
0	2360	0.0
0	2370	0.0
0	2380	0.0
0	2390	0.0
0	2400	0.0
0	2410	0.0
0	2420	0.0
0	2430	0.0
0	2440	0.0018924021238020394
0	2450	0.0010354748071780052
0	2460	0.0
0	2470	0.0
0	2480	0.0
0	2490	0.0
0	2500	0.00015136810081815
0	2510	0.0
0	2520	0.0
0	2530	0.0
0	2540	0.0
0	2550	0.0
0	2560	0.0
0	2570	0.0
0	2580	0.0
0	2590	0.0
0	2600	0.007645220758378368
0	2610	0.0
0	2620	0.0
0	2630	0.0
0	2640	0.0018179498011932972
0	2650	-0.005209598258636383
0	2660	0.0
0	2670	0.0
0	2680	0.0
0	2690	-0.012042130038548838
0	2700	0.0
0	2710	0.0
0	2720	0.0
0	2730	0.004758160679487844
0	2740	0.0
0	2750	0.0
0	2760	0.0
0	2770	0.0
0	2780	0.0
0	2790	0.0
0	2800	0.0
0	2810	0.0
0	2820	0.0
0	2830	0.0
0	2840	0.0
0	2850	0.0
0	2860	0.0
0	2870	0.0
0	2880	0.0
0	2890	0.012566203550236832
0	2900	0.0
0	2910	-0.010003336782826989
0	2920	0.0
0	2930	0.0
0	2940	0.0
0	2950	0.0
0	2960	0.0
0	2970	0.0
0	2980	0.0
0	2990	0.0
0	3000	0.0
0	3010	0.0
0	3020	0.0
0	3030	0.0
0	3040	-0.011696108167639264
0	3050	0.0
0	3060	0.0
0	3070	0.0
0	3080	0.0
0	3090	0.0
0	3100	0.0
0	3110	0.0
0	3120	0.0
0	3130	0.0
0	3140	0.0
0	3150	0.0
0	3160	0.0
0	3170	-0.009129045217476595
0	3180	0.0
0	3190	0.0
0	3200	0.0
0	3210	-0.0055478802460066316
