B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	P_distasonis	R_obeum
0	0.213585434173669	0.131245339299031	0.118311981914092	0.196769456681351	0.18450184501845	0.656210790464241	0.614035087719298	0.711468224981739	0.252440725244073	0.602402745995423
0.213585434173669	0	0.168515950069348	0.179806362378977	0.180477528089888	0.210344827586207	0.655050206733609	0.621131270010672	0.737367021276596	0.255614266842801	0.611739364566505
0.131245339299031	0.168515950069348	0	0.117176128093159	0.200706713780919	0.175965665236052	0.657847263980758	0.615594329334787	0.724896836313618	0.257718120805369	0.611293859649123
0.118311981914092	0.179806362378977	0.117176128093159	0	0.198153409090909	0.18888096935139	0.6640625	0.622004357298475	0.720527045769764	0.257912457912458	0.613948380010983
0.196769456681351	0.180477528089888	0.200706713780919	0.198153409090909	0	0.179169701383831	0.650587507730365	0.614913745130774	0.719659332860185	0.250171821305842	0.605839416058394
0.18450184501845	0.210344827586207	0.175965665236052	0.18888096935139	0.179169701383831	0	0.646439628482972	0.604143337066069	0.716820440028389	0.257006151742994	0.5957086391869
0.656210790464241	0.655050206733609	0.657847263980758	0.6640625	0.650587507730365	0.646439628482972	0	0.556735235567352	0.645454545454546	0.654611211573237	0.547220361687877
0.614035087719298	0.621131270010672	0.615594329334787	0.622004357298475	0.614913745130774	0.604143337066069	0.556735235567352	0	0.67964731814842	0.605711147721032	0.377457404980341
0.711468224981739	0.737367021276596	0.724896836313618	0.720527045769764	0.719659332860185	0.716820440028389	0.645454545454546	0.67964731814842	0	0.732740943267259	0.662434652725915
0.252440725244073	0.255614266842801	0.257718120805369	0.257912457912458	0.250171821305842	0.257006151742994	0.654611211573237	0.605711147721032	0.732740943267259	0	0.604407713498623
0.602402745995423	0.611739364566505	0.611293859649123	0.613948380010983	0.605839416058394	0.5957086391869	0.547220361687877	0.377457404980341	0.662434652725915	0.604407713498623	0
