ExcludedCluster	SampleIdx	Ky
0	0	-0.048404802051439315
0	10	-0.015201104927703697
0	20	-0.019450260996679992
0	30	-0.02646154178417103
0	40	0.05914841006639775
0	50	-0.03403978084557488
0	60	0.0
0	70	0.0
0	80	0.0
0	90	-0.10839832275651919
0	100	0.0
0	110	0.0
0	120	0.0
0	130	0.0
0	140	0.0
0	150	0.0
0	160	0.0
0	170	0.0
0	180	0.0
0	190	0.047192427597009985
0	200	0.0
0	210	0.0
0	220	0.0
0	230	0.018009240065411027
0	240	-0.007931527696238677
0	250	-0.03503250776232109
0	260	0.0
0	270	0.0
0	280	0.0
0	290	0.0
0	300	0.0
0	310	0.0
0	320	0.0
0	330	0.0
0	340	0.0
0	350	0.0
0	360	0.0
0	370	0.0
0	380	0.0
0	390	0.0
0	400	-0.02826709689765047
0	410	-0.026570165267844847
0	420	-0.033639416732094626
0	430	-0.04371773536018657
0	440	-0.03520687963079103
0	450	-0.027846435625359642
0	460	0.0
0	470	0.0
0	480	0.0
0	490	0.0
0	500	0.0
0	510	0.0
0	520	-0.005374832677856858
0	530	0.0
0	540	0.0
0	550	0.0
0	560	0.0
0	570	0.0
0	580	0.0
0	590	0.0
0	600	0.0
0	610	0.0
0	620	0.0
0	630	0.0
0	640	0.0
0	650	0.0
0	660	0.0
0	670	0.0
0	680	0.0
0	690	0.0
0	700	-0.04613439280989937
0	710	0.0
0	720	0.0
0	730	0.0
0	740	0.0
0	750	0.0
0	760	0.0
0	770	0.0
0	780	0.0
0	790	0.0
0	800	0.0
0	810	0.0
0	820	0.0
0	830	0.0
0	840	0.0
0	850	0.0
0	860	0.0
0	870	-0.07271156997681748
0	880	-0.03896239916297472
0	890	-0.03255780843833216
0	900	-0.034575909148584376
0	910	-0.025120213159606664
0	920	0.0
0	930	0.0
0	940	0.0
0	950	0.0
0	960	-0.017859161681997273
0	970	-0.02677978129375164
0	980	-0.02557666874853869
0	990	-0.023579378088300098
0	1000	-0.021398661356322502
0	1010	0.0
0	1020	0.0
0	1030	0.0
0	1040	0.0
0	1050	-0.010505690693402155
0	1060	-0.012800069161841388
0	1070	0.0
0	1080	0.0
0	1090	0.0
0	1100	0.0
0	1110	0.0
0	1120	0.0
0	1130	0.0
0	1140	0.0
0	1150	0.0
0	1160	0.0
0	1170	-0.010646239897884885
0	1180	0.0
0	1190	0.0
0	1200	0.0
0	1210	0.0
0	1220	-0.1032295946151402
0	1230	-0.13138988397560036
0	1240	0.0
0	1250	0.0
0	1260	0.0
0	1270	-0.022303873108595888
0	1280	-0.06457640121035567
0	1290	-0.03798641357958738
0	1300	-0.10185558162231644
0	1310	-0.05671519820073876
0	1320	-0.06725969723624897
0	1330	-0.046892436859508925
0	1340	-0.016636725923829507
0	1350	0.0
0	1360	0.0
0	1370	0.0
0	1380	-0.11919031730574071
0	1390	-0.15990887128057477
0	1400	-0.18740918678343127
0	1410	-0.12417277035339284
0	1420	-0.16016498480837785
0	1430	-0.18365026804426018
0	1440	-0.16388407766204532
0	1450	-0.17952881752138297
0	1460	-0.1430617687752031
0	1470	-0.16721136619922358
0	1480	-0.19356372874147887
0	1490	-0.1667071983057213
0	1500	-0.09772928820892308
0	1510	-0.13253440756288457
0	1520	-0.10600410653524982
0	1530	-0.18171631227160479
0	1540	-0.19794110090218398
0	1550	-0.16860958810035484
0	1560	-0.1944921596070647
0	1570	-0.11459607843673382
0	1580	-0.24503506639965378
0	1590	-0.21067125232107856
0	1600	-0.2189651572492223
0	1610	-0.1782630888766806
0	1620	-0.1698154842015736
0	1630	-0.18887697001033785
0	1640	-0.1665457314189314
0	1650	-0.20872830378740037
0	1660	-0.2067100574429146
0	1670	-0.22457307324856635
0	1680	-0.13419539249289061
0	1690	-0.15230261565190284
0	1700	-0.1694989631753999
0	1710	-0.11249788813960417
0	1720	-0.17088975689563515
0	1730	-0.134882809340705
0	1740	-0.10885124796621758
0	1750	-0.14868888075724848
0	1760	-0.2011075566061088
0	1770	-0.1749695123593429
0	1780	-0.18724610555004856
0	1790	-0.21149991428311543
0	1800	-0.3050733607447937
0	1810	-0.26851849125233684
0	1820	-0.20521858442361773
0	1830	-0.17172306928944422
0	1840	-0.18842890388208008
0	1850	-0.18788257146194856
0	1860	-0.20605082763894975
0	1870	-0.22130901544027234
0	1880	-0.1679723884411567
0	1890	-0.12996826645257406
0	1900	-0.16715753731103264
0	1910	-0.25162504003818414
0	1920	-0.21469078000007943
0	1930	-0.14008305666986126
0	1940	-0.15609976174422774
0	1950	-0.17174458650893057
0	1960	-0.19533535925148413
0	1970	-0.17454987566476501
0	1980	-0.06990145949915308
0	1990	-0.09938691718652169
0	2000	-0.10148785853779664
0	2010	-0.13688897711742387
0	2020	-0.11900396202804474
0	2030	-0.12353303478464057
0	2040	-0.1064806099637735
0	2050	-0.13026807540754143
0	2060	-0.18555926048562352
0	2070	-0.13945398597990855
0	2080	-0.12242147016085961
0	2090	-0.14938786074923158
0	2100	0.0
0	2110	-0.08581638143913847
0	2120	-0.1385039138756451
0	2130	-0.13382382840627172
0	2140	-0.08761426029048619
0	2150	-0.04782224488982893
0	2160	0.0
0	2170	-0.06696848714087146
0	2180	-0.061452169726716216
0	2190	-0.07774538978080514
0	2200	-0.1158387226328311
0	2210	-0.12195656384107632
0	2220	-0.1404265267250901
0	2230	-0.1347165883825077
0	2240	-0.13255613812227948
0	2250	-0.11989339962794796
0	2260	-0.08378528501414047
0	2270	-0.07677966981477842
0	2280	-0.1058224125071265
0	2290	-0.08381530170258268
