	B_caccae	B_cellulosilyticus_WH2	B_ovatus	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_aerofaciens	C_scindens	C_spiroforme	D_longicatena	P_distasonis	R_obeum
B_caccae	0.0	0.6727098040853837	466.20629249740693	11.131356116201312	4.077004442563994	1.6381016266979709	53.339477111088854	11.790023504831549	57.59171657699726	14.9100673504424	9.350877949868416	76.7184340718434
B_cellulosilyticus_WH2	2.722795201010314	0.0	495.4390507011866	47.97991038455857	28.08924949290061	3.8390260399053093	177.19490286191768	22.956521739130434	56.74516553609396	17.6	28.372294771814868	552.91593604951
B_ovatus	6.815524021200205	14.9100673504424	0.0	4.383598780074551	39.317535545023695	10.713839750260146	108.07117270538492	23.77762637961575	33.646450885516984	16.888416012767657	31.06822521305826	46.3448275862069
B_thetaiotaomicron	1.2377762893503015	2.520842973120767	30.478527607361965	0.0	4.668108383157359	1.716083036275949	59.44683240594211	13.371623692159524	30.082153631933163	14.62796833773087	22.32111708617651	47.519740400216335
B_uniformis	2.520842973120767	1.0824198811814911	18.83189000982055	3.963628674138296	0.0	3.3417721518987342	45.22401171303075	13.420202285564166	21.76583077755728	14.897790298441764	9.58694244138348	25.44723618090452
B_vulgatus	1.7718120805369129	14.26086956521739	9.31550340781641	3.7258514324347165	15.673361288898699	0.0	55.83846542150429	10.297588640200875	38.65106281347027	14.971468827051778	6.48025613660619	5.06743672498726
C_aerofaciens	31.853567426223385	8.950501873949943	15.365079365079366	19.21115680314679	107.50395778364116	28.669407362926695	0.0	34.783363199094595	24.945640277271067	18.76877761413844	91.45582047685835	39.768338287467635
C_scindens	6.89657531318141	2.196117973279556	97.64383561643835	6.318699603225394	11.562127604053407	3.657992565055762	52.657504123144584	0.0	30.000278409354554	15.809220985691574	17.31243617635306	74.89602053915276
C_spiroforme	33.53463254285043	5.090291344602056	34.1506752623406	56.339754284847565	60.25793244626407	6.249520153550864	87.94134310948175	41.46716806479606	0.0	15.735099337748345	114.7661406025825	114.78878459974891
D_longicatena	18.27746591820369	3.7597937708659086	75.40432826226699	10.535291823735864	124.66396761133603	12.644981006854998	71.9847279669106	34.966639928278205	40.805888295569346	0.0	51.60071727435744	41.39355087482527
P_distasonis	11.850058774870478	97.80904522613065	26.10989010989011	13.833808375356282	8.10650633455014	2.801414855987873	44.69671132764921	19.71843095110156	22.489419424850787	15.586973788721208	0.0	10.40450411433521
R_obeum	3.398185271154252	1.8052607291185971	58.54123396456934	11.850058774870478	10.630488492046291	3.4546222034613763	63.93333678381036	23.516449607478332	27.847075080608015	16.118484459967284	30.7662247034194	0.0
