Source	Target	Interaction	Interaction_magnitude_log
B_thetaiotaomicron	D_longicatena	+	-9.85128157628415
B_vulgatus	D_longicatena	+	-10.19937612132906
C_aerofaciens	D_longicatena	+	-9.765996685294324
C_scindens	D_longicatena	+	-9.697669816088993
C_spiroforme	D_longicatena	+	-10.008648778795198
B_cellulosilyticus_WH2	C_spiroforme	-	-7.127984968592495
B_ovatus	C_spiroforme	-	-7.108354796268423
B_uniformis	C_spiroforme	-	-7.122752087133377
P_distasonis	C_spiroforme	-	-7.306840475437267
R_obeum	C_spiroforme	-	-7.13142296707994
B_caccae	C_spiroforme	-	-7.640110512838347
B_thetaiotaomicron	C_spiroforme	-	-7.586982391608182
B_vulgatus	C_spiroforme	-	-7.588869440336348
C_aerofaciens	C_spiroforme	-	-7.603534514988215
C_scindens	C_spiroforme	-	-7.630425802509807
D_longicatena	C_spiroforme	-	-7.5792524568210915
