	B_cellulosilyticus_WH2	B_ovatus	B_uniformis	P_distasonis	R_obeum	B_caccae	B_thetaiotaomicron	B_vulgatus	C_aerofaciens	C_scindens	D_longicatena	C_spiroforme
B_cellulosilyticus_WH2	0.0	0.0	0.0	0.0	0.0	-1.925582544195371e-09	-9.066389811686532e-10	-9.973338244577369e-10	-1.7380679651921101e-09	-1.8873412444898594e-09	-1.6948859467145805e-09	-1.17946457498923e-09
B_ovatus	0.0	0.0	0.0	0.0	0.0	-2.0608188206649242e-09	-1.4223525196390358e-09	-1.4818212949649706e-09	-1.9183432257725044e-09	-2.0220624479279067e-09	-1.8920973091145188e-09	-1.4327875916630154e-09
B_uniformis	0.0	0.0	0.0	0.0	0.0	-1.9941367093841172e-09	-1.2388666803229485e-09	-1.293581757017065e-09	-1.8314729315410467e-09	-1.954647542161947e-09	-1.8158459006185626e-09	-1.2186427220401123e-09
P_distasonis	1.3211297252325834e-09	1.4178173850824796e-09	1.397429419924102e-09	0.0	1.323862018764736e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
R_obeum	0.0	0.0	0.0	0.0	0.0	-1.9129812832568794e-09	-9.359491348069084e-10	-9.7742912414487e-10	-1.750902962040527e-09	-1.873273354077262e-09	-1.7186358907898651e-09	-1.2295488870995065e-09
B_caccae	1.4825724360788095e-09	1.5257730788650551e-09	1.5283152658946954e-09	1.2774676050244222e-09	1.5524206763382934e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_thetaiotaomicron	1.4166455997986637e-09	1.4736274771908195e-09	1.4749267466576398e-09	1.215171837136122e-09	1.467980060617959e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B_vulgatus	1.4798655688528137e-09	1.5533932185152915e-09	1.5475821732454068e-09	1.2144603184302277e-09	1.533382344894623e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_aerofaciens	1.4972040484023213e-09	1.5701334470667866e-09	1.56034415764658e-09	1.233353145379685e-09	1.5366844339871768e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_scindens	1.4845143838387572e-09	1.5448594370102886e-09	1.5371394227122994e-09	1.2731889433634819e-09	1.562791826502772e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D_longicatena	1.487261040329105e-09	1.5496421216764864e-09	1.5542934990806329e-09	1.2309315251366625e-09	1.5349809431580201e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C_spiroforme	1.0807806902677077e-09	1.0843375616551246e-09	1.0860244569476923e-09	9.376734922658117e-10	1.1174286067600834e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0
