	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	4.45221626655751e-09	4.358893786600677e-09	3.6453798199396093e-09	5.245762820887834e-09
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	2.765067012520495e-09	2.749583644937378e-09	2.2749498275115377e-09	3.2724536993786978e-09
B_ovatus	B_ovatus	2.1912708989392185e-08	2.1816649981418675e-08	1.9944982465005684e-08	2.3931259719739437e-08
B_thetaiotaomicron	B_thetaiotaomicron	1.3024192870053225e-08	1.2778251139559715e-08	1.1335350227887621e-08	1.4715547937687218e-08
B_uniformis	B_uniformis	1.5708377259032206e-08	1.5919952877012415e-08	1.3198558805930448e-08	1.849121984535734e-08
B_vulgatus	B_vulgatus	3.2429500522334045e-09	3.4242102358694264e-09	2.2777897753707173e-09	4.3729273814635696e-09
C_aerofaciens	C_aerofaciens	2.2749731214353337e-07	2.2970814866663517e-07	1.8703737879898217e-07	2.7151736273328394e-07
C_scindens	C_scindens	7.578538156963259e-08	7.590183342176203e-08	6.379848149254456e-08	8.817338676078019e-08
C_spiroforme	C_spiroforme	5.358285912621197e-07	5.68008982972773e-07	4.1416774358905167e-07	6.847286339933331e-07
D_longicatena	D_longicatena	1.1674802695430901e-06	1.2376924175282575e-06	7.745762776825661e-07	1.624507668931733e-06
P_distasonis	P_distasonis	2.157800284572085e-08	2.317917374879527e-08	1.831511567028641e-08	2.5541472406937314e-08
R_obeum	R_obeum	5.045695461643549e-08	5.0389980087227284e-08	4.5601453132960814e-08	5.5212662081248384e-08
