seed	inter_bayes_fact_score	pertur_bayes_fact_score
0	281.0	46.0
1	459.0	42.0
2	273.0	54.0
3	340.0	41.0
4	449.0	44.0
5	267.0	49.0
6	291.0	60.0
7	321.0	60.0
8	264.0	60.0
9	306.0	60.0
12	300.0	52.0
16	301.0	63.0
23	368.0	60.0
24	456.0	38.0
26	309.0	50.0
28	550.0	60.0
31	257.0	64.0
36	297.0	50.0
46	275.0	60.0
48	261.0	55.0
51	319.0	54.0
54	270.0	47.0
63	252.0	60.0
69	323.0	42.0
77	338.0	60.0
78	267.0	55.0
86	277.0	55.0
89	344.0	55.0
96	484.0	41.0
127	275.0	58.0
