Seed	RMSE
0	126521911.98398682
1	121483673.42896162
2	122551531.9085318
3	129495253.103333
4	117846742.95858209
5	115885534.9672031
6	125884909.64817622
12	118934678.6748805
23	120271317.42693357
24	135148696.48791608
26	121056164.1662302
28	139791373.2767205
31	125996357.46903242
46	117575577.75435399
51	120442903.309589
69	115467456.70199358
77	139485107.5550117
78	125896511.80784914
89	117360420.87981637
96	137320483.6769063
127	124641692.09996437
