	0.0	1.0	2.0	4.0	6.0	9.0	11.0	12.0	14.0	15.0	16.0	18.0	20.0	24.0	25.0	26.0	28.0	29.0	30.0	32.0	34.0	37.0	39.0	40.0
B_caccae	11944059.761199797	21045387.32025136	28776472.458721925	55012481.52521888	26936399.1646381	27720793.688826147	20322127.922176387	38774168.93200055	55127704.56102707	55037825.118444756	77219915.05322663	89356771.8888139	118348191.14548653	89787222.50475724	88314588.71618949	95416134.31949821	178200472.18561703	123706510.15690273	69516734.11915205	85355313.61274874	69565950.23624957	38613022.00639033	31570897.165128037	27409782.913320165
B_cellulosilyticus_WH2	25191013.881827235	84912821.56397898	115386738.17672823	528179019.5410393	76066170.41974956	81724791.95673701	66776800.10139636	306318533.25898427	131881429.85365006	55697719.44161873	54521035.417152435	55234252.036000654	66797924.35324436	51931158.65386476	44093144.07919022	38730342.11359726	82958643.455386	128497224.95318435	127579012.01509269	397557534.4521144	341534008.1210951	205138150.7608462	248046912.51257434	150398244.9207652
B_ovatus	11740665.95182629	30561175.79453219	39970516.30608218	67028184.33229577	31939893.411122046	66934267.34195211	19711362.3598564	55300635.91424524	50000719.51957285	9495702.394885736	6228525.685833641	4089141.9068350326	4265084.872257343	4026130.0445436416	3800454.3447482064	3441119.698968812	21103712.82403125	41658957.55544897	42965570.43436022	55977368.12022214	53513744.35563991	49130280.713934384	62145851.9460519	47858536.950373136
B_thetaiotaomicron	7568010.620303823	15275459.871149765	25687840.595002018	69870492.65474287	34460299.07124961	43625221.89188873	23645334.423278205	50646034.25197066	40765353.43359629	31092628.688122787	39580394.50773134	42201540.08364911	47059950.76651613	54534766.593545444	44010374.042711884	44324644.29999631	45952624.03049641	69008344.26366346	41990911.552003615	52536326.15994365	52616081.28814372	40542672.01979112	54998763.216696665	38994473.766791575
B_uniformis	1634505.78841804	2527360.7104759947	4216587.5364189595	11437057.549966205	12015227.062052902	13918713.372930061	13737555.43157762	20043367.47901965	14160235.485447308	13641554.361404674	16042906.163581487	22930848.35249039	25993297.894578584	17678109.64232535	15745327.818594815	17331750.180310342	22582966.161863532	25346515.94760004	23034991.74447444	25030027.774186883	21166300.846942447	21069312.09633442	22410294.266820617	21248971.42165133
B_vulgatus	15596672.373695748	21735061.10939438	29664649.326720387	75912091.34956548	43828064.16744612	35715229.0894231	24777072.223400366	45674179.9227163	52927269.78433904	40118248.46239469	47992113.81470742	61411213.00658103	91105998.84072834	84816957.45139857	74876367.32543811	75507592.97153118	67115821.77946988	76455516.13290285	65917809.51154711	108689664.41991463	133951926.26431203	54212683.75670535	74476346.93150997	69185957.70098715
C_aerofaciens	822441.4923663238	1598694.613182361	2205874.0872497205	3478842.0970082637	2235460.807796023	2222871.1754807923	2180588.570972685	3129056.910160796	1897700.962993482	1646935.635088936	1651517.2779969734	1160740.924238991	1256822.5279009412	1007607.0325167646	934176.1768167975	1117211.3148971219	3648656.185112308	2463366.4026672686	2038518.2232674682	3022922.2988535534	1414132.758797916	1857238.212364879	1833702.4548335855	1619914.9364902016
C_scindens	5219874.218630226	5718752.8318892885	5872238.313006642	7742084.302156714	5214424.756734136	5040768.393461268	4656764.485398517	6776861.450537759	4774054.387121514	5001693.393323635	6442252.851449594	6389613.337836445	7037746.094314064	8168966.175663186	5927368.020736928	6058456.826182845	11928294.430993367	9444697.340411173	6743827.870546852	8215211.732132728	4992448.568656081	5579061.04203854	4913460.41505436	4485921.840430309
C_spiroforme	200110.69772353134	375888.7853315065	606476.014752969	629977.8731150493	319366.18570739956	415948.14258025115	295410.8934932431	312697.6684180544	199336.44521196338	164507.4125524428	189704.78975264216	222812.94878761994	266473.2770125127	274273.71886236925	246347.26684242967	256659.53929186106	410752.5105369779	339152.3987392046	291696.7521177175	340488.438831695	365474.0511663931	495285.35248396633	440715.21807277005	379245.3210363027
P_distasonis	772783.3517605106	1697839.183400103	4038706.020805668	23032140.471396662	17553629.067325886	17743489.61696492	10324656.800179895	15551282.80541159	25089510.364390403	16565533.670631606	14198475.825306363	11428501.40249422	13063467.038914297	11524721.124443425	9874234.255105874	10563265.979798166	10566227.563632408	11887077.452169284	13251354.697157469	24107108.12428506	24440081.374034114	18104896.825570296	23132269.74841306	18883295.64824175
R_obeum	2830481.6670685355	8394758.646492518	15672902.289972367	24926204.244651455	18265649.030365348	17598901.5375365	13208535.579339584	27409839.47708198	9825069.377834698	5968261.918978335	5705159.27090091	4056673.732035491	4264564.063593296	4850254.078103339	4386710.6821727585	4501516.942586984	21231284.177948892	21766795.786622725	17478512.488565918	23439432.361179307	17905853.388469413	17606864.480876036	22848753.940451507	15567631.845980514
