Seed	RMSE
0	97330580.2427867
1	101677032.86895318
2	105537116.2245449
3	95171914.80157828
4	104609001.74255592
5	99967814.34629309
6	94579210.62422305
12	98685394.90165094
23	103479238.9522022
24	96294593.39175476
26	96052120.7658265
28	92795182.43919237
31	101153855.61474213
46	97859073.40190479
51	98036966.31729662
69	102714772.5951162
77	100602247.29268983
78	101657452.31818324
89	102247068.41539317
96	98973041.41203944
127	97301110.22176406
