	median	mean	25th percentile	75th percentile
B_caccae	-0.604305866174973	-0.6654885251042701	-0.74073595335954	-0.48690022041530256
B_cellulosilyticus_WH2	0.15426438169026274	0.36951536170482974	0.0	0.27529777663174476
B_ovatus	0.18190934569219286	0.8792753851712567	0.0	0.3168476769707612
B_thetaiotaomicron	-0.5526645945840779	-0.5063052691829236	-0.698871491998464	-0.33253895528952127
B_uniformis	0.17270799417395394	0.5813098028671952	0.0	0.3002232055184888
B_vulgatus	-0.5564503020630894	-0.4874419028768023	-0.6880295015902305	-0.3879284733000377
C_aerofaciens	-0.5925398444671539	-0.5916419100436069	-0.7265933294828137	-0.4674384048448793
C_scindens	-0.604407772302705	-0.6666704266519028	-0.7410691817366521	-0.4868789655758014
C_spiroforme	0.0	-0.37685664960578624	-0.6166014154346238	0.0
D_longicatena	-0.5886262311047121	-0.4823359192621462	-0.7222606037844864	-0.4609786452035204
P_distasonis	0.0	-0.09383933723842024	-0.4940835548006497	0.16582813943886707
R_obeum	0.151732836986951	0.21432390168847662	0.0	0.2712339522439369
