	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	4.167076594133606e-09	4.190408688883136e-09	3.4864898549593386e-09	4.8913398827234046e-09
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	2.964258147174172e-09	2.9628115000625916e-09	2.564545361242387e-09	3.365075317797743e-09
B_ovatus	B_ovatus	2.2239754546080123e-08	2.1494168289334518e-08	1.985567895036767e-08	2.4426100403697466e-08
B_thetaiotaomicron	B_thetaiotaomicron	1.3488714824705692e-08	1.3441734353448855e-08	1.1691425174861123e-08	1.531082004206175e-08
B_uniformis	B_uniformis	1.4830830733626602e-08	1.5001825383918588e-08	1.2285335806092943e-08	1.759243288635405e-08
B_vulgatus	B_vulgatus	2.8112696162261364e-09	2.974405010808814e-09	2.11951799922183e-09	3.668777040353294e-09
C_aerofaciens	C_aerofaciens	2.2424325192444648e-07	2.2664360233402476e-07	1.8607480488514883e-07	2.6519983190753253e-07
C_scindens	C_scindens	7.709671314388667e-08	7.752780057329593e-08	6.469886891209442e-08	9.028170138372288e-08
C_spiroforme	C_spiroforme	5.420053359949355e-07	5.725577595083984e-07	4.230636834949234e-07	6.888339891515426e-07
D_longicatena	D_longicatena	1.0558903601898858e-06	1.1048360253541838e-06	7.096121920566285e-07	1.447215632202348e-06
P_distasonis	P_distasonis	2.086514985533489e-08	2.151576503536193e-08	1.7820985148127345e-08	2.4294813078738836e-08
R_obeum	R_obeum	5.132254230464557e-08	5.108174113782412e-08	4.676476621851108e-08	5.584296632747375e-08
