	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	8.207321649819206e-09	8.23648834934201e-09	6.9021240102603105e-09	9.47688769737968e-09
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	1.2565516461042966e-09	1.3473918842445315e-09	5.766497128768552e-10	1.9354372761935973e-09
B_ovatus	B_ovatus	1.24986119259638e-09	1.5835497892127948e-09	3.7962414713629695e-10	2.466187866038487e-09
B_thetaiotaomicron	B_thetaiotaomicron	1.0387302245500761e-08	1.0521894648137173e-08	9.197306528285143e-09	1.1705280976094126e-08
B_uniformis	B_uniformis	2.7786732561413955e-09	4.028212993954934e-09	8.416708353733387e-10	5.500051850137304e-09
B_vulgatus	B_vulgatus	7.3406513684232726e-09	7.413372356533377e-09	6.302640954891892e-09	8.492769264839649e-09
C_aerofaciens	C_aerofaciens	2.3670246744809874e-07	2.3963191090167814e-07	2.0802999793219907e-07	2.6795627854461134e-07
C_scindens	C_scindens	6.436086904336812e-08	6.475890902131552e-08	5.537990934607773e-08	7.366989444419706e-08
C_spiroforme	C_spiroforme	6.427318686180092e-07	7.82951038923631e-07	4.7460814167110533e-07	1.0983071678317334e-06
D_longicatena	D_longicatena	4.470366505439314e-06	4.4690143289523244e-06	3.973978440507952e-06	4.962824075182293e-06
P_distasonis	P_distasonis	1.3743328875877418e-08	1.497141051167871e-08	8.323392589684994e-09	2.2262816312543173e-08
R_obeum	R_obeum	1.3170068510001211e-08	1.3699162281604504e-08	6.4886754041425504e-09	1.9041522795633545e-08
