	median	mean	25th percentile	75th percentile
B_caccae	-0.3860464821099863	-0.34690844416726857	-0.47376925725983376	-0.26806799206212856
B_cellulosilyticus_WH2	1.15143199525405	1.246991650666526	0.43837180504984163	1.7834850294885112
B_ovatus	5.868972367668908	10.226330640447816	2.941925843349443	13.010872225289507
B_thetaiotaomicron	0.0	-0.06037972016310222	0.0	0.0
B_uniformis	1.4501990576757087	1.6739151549844853	0.9607291437895938	2.0588373402638678
B_vulgatus	0.0	-0.024742069777254523	0.0	0.0
C_aerofaciens	0.0	0.03039177815387722	0.0	0.0
C_scindens	0.0	-0.15429375374486282	0.0	0.0
C_spiroforme	-0.5157276250303979	-0.4430725422323038	-0.7025955525642771	0.0
D_longicatena	5.787489659814227	11.196895090057255	0.0	17.22277949489007
P_distasonis	0.0	0.580743241847892	0.0	1.05765391740344
R_obeum	0.9229368730473042	0.8852467059377228	0.0	1.4046119230683296
