	name	median	mean	25th percentile	75th percentile
B_caccae	B_caccae	0.4623164139294012	0.44739558085446807	0.37406865469771944	0.5398543347585614
B_cellulosilyticus_WH2	B_cellulosilyticus_WH2	0.5117085163840425	0.49586475856004264	0.43049615451408824	0.5820595901602664
B_ovatus	B_ovatus	0.3850355408223006	0.36926435633947363	0.30791652165789224	0.45052125147643307
B_thetaiotaomicron	B_thetaiotaomicron	0.3551564581524498	0.3527833736454884	0.29622672423018354	0.41412567613614104
B_uniformis	B_uniformis	0.4989397830813002	0.4795819117617562	0.40953535742622993	0.5734982741333422
B_vulgatus	B_vulgatus	0.2853857908887302	0.3003389466056615	0.21566734606636265	0.368438715542942
C_aerofaciens	C_aerofaciens	0.1762849052875065	0.18401357827386577	0.12464265718915535	0.2334726242731868
C_scindens	C_scindens	0.3299957060103639	0.32033943119153646	0.24026851669163266	0.4092142982194607
C_spiroforme	C_spiroforme	0.22105037818450451	0.25096109962786217	0.1497721304079884	0.3235479579671706
D_longicatena	D_longicatena	0.01419424193191039	0.043799200956187126	0.005659978201575962	0.032136158217294764
P_distasonis	P_distasonis	0.31720976578051985	0.3703791551928188	0.20664136564999347	0.5516427296539809
R_obeum	R_obeum	0.5099642044377644	0.48208028425106275	0.3606305814624494	0.6038484726107959
