	cluster_assignment
B_caccae	0
B_cellulosilyticus_WH2	1
B_ovatus	1
B_thetaiotaomicron	0
B_uniformis	0
B_vulgatus	0
C_aerofaciens	1
C_scindens	0
C_spiroforme	2
D_longicatena	0
P_distasonis	1
R_obeum	1
