	median	mean	25th percentile	75th percentile
B_caccae	0.0	-0.02466389197323092	0.0	0.0
B_cellulosilyticus_WH2	-0.8525254335850649	-0.845843728174644	-0.8935752521375093	-0.8082916326474545
B_ovatus	-0.8760057814786285	-0.9391649475628233	-0.9484847968197674	-0.838874295140674
B_thetaiotaomicron	0.0	-0.0394665063145767	0.0	0.0
B_uniformis	0.0	-0.02941655129973205	0.0	0.0
B_vulgatus	0.0	-0.07165942726303247	0.0	0.0
C_aerofaciens	-0.811292271824462	-0.6299299925458646	-0.8583550754969684	-0.4694221958548179
C_scindens	0.0	-0.020483791654871995	0.0	0.0
C_spiroforme	0.0	-0.383775838544137	-0.82905698411355	0.0
D_longicatena	0.0	-0.02373567119202344	0.0	0.0
P_distasonis	-0.8489078467825191	-0.8325909271165435	-0.8895739670096329	-0.8002676081538553
R_obeum	-0.8632067448475287	-0.9157345916438142	-0.9107222162158233	-0.8252381671330041
