	B_caccae	B_thetaiotaomicron	B_uniformis	B_vulgatus	C_scindens	D_longicatena	B_cellulosilyticus_WH2	B_ovatus	C_aerofaciens	P_distasonis	R_obeum	C_spiroforme
B_caccae	0.0	-1.635740561014889e-11	7.13026977684539e-13	1.5693354508052953e-11	-8.419579529727367e-12	5.211174916621917e-09	8.233564261775155e-12	-2.5531046439361067e-10	-1.1496640831872209e-10	3.5275264599550395e-12	-2.69785236715409e-10	-2.9626536553531266e-10
B_thetaiotaomicron	2.325416329898967e-13	0.0	5.495471977225474e-13	1.4481048542178814e-11	-1.1705939737371562e-12	7.429711728811636e-09	9.933095577344066e-12	-2.394392171452691e-10	-7.697975907424702e-11	3.595913624108504e-12	-2.5369632083079897e-10	-5.640766564007465e-11
B_uniformis	-1.3070061323222878e-13	-2.0631124351486126e-11	0.0	1.6149287127241173e-11	-8.512630414261456e-12	7.705311749669658e-09	8.954375631939734e-12	-2.546146661618768e-10	-1.2980809151994152e-10	-2.5417918590242506e-12	-2.687498489392368e-10	-1.2659793810833188e-10
B_vulgatus	3.043241990211538e-11	-1.7040810793442587e-11	3.7773502936949523e-11	0.0	1.5569294581684852e-11	9.250287095423819e-09	-3.73605897440928e-12	-1.9244720748615957e-10	-1.4161031121730306e-10	-1.1467995419686457e-11	-2.0948955400856748e-10	-2.0494768052236508e-10
C_scindens	6.530831127975917e-13	-7.996922736773037e-12	9.802391274007384e-13	1.5990785592698757e-11	0.0	5.2324165672783634e-09	8.114253689822239e-12	-2.5169190051519204e-10	-9.437620028215268e-11	3.73561871866313e-12	-2.6909577723751506e-10	-1.9077540521598034e-10
D_longicatena	1.1941119075037966e-10	1.0630774630029586e-11	1.5533100892101276e-10	1.3089117397956517e-10	8.840624661367534e-11	0.0	1.4424542282986386e-11	-2.0977679886528257e-10	-1.3871298054067393e-10	1.538933715935096e-11	-2.4329906837756223e-10	-1.6337341411978213e-10
B_cellulosilyticus_WH2	1.4728070560621688e-10	1.3514889250957636e-11	2.1432928486479926e-10	1.92216524703934e-10	1.491799921421659e-10	1.816055501178819e-08	0.0	-2.0341019878696691e-10	-1.600425469830932e-10	-9.422980262272164e-12	-2.3775105204521953e-10	5.518757098325927e-10
B_ovatus	2.9369915025426655e-10	1.408793178338287e-10	3.759995497677464e-10	3.6586501664512417e-10	3.117147432525878e-10	1.864466396377086e-08	9.04718370394807e-11	0.0	-4.958738367798415e-11	9.414970915801746e-11	-3.2982056500543335e-11	7.303549783879515e-10
C_aerofaciens	2.178802608154247e-11	-1.903494152709206e-11	2.858153101245771e-11	2.513243654426561e-11	1.789282462106505e-11	1.2369647219170378e-08	-1.3644572746136513e-11	-2.1830962716095556e-10	0.0	-2.647602038339903e-11	-2.1107335901466372e-10	2.921628524124546e-10
P_distasonis	1.3687821756535116e-10	8.46781453789752e-12	2.0334936135686672e-10	1.8024029729299931e-10	1.387949291501756e-10	1.6115079219739035e-08	5.249161497534314e-12	-1.8847382039572936e-10	-1.529032797292894e-10	0.0	-2.2270638751958287e-10	4.960851221332282e-10
R_obeum	2.696018022093123e-10	1.2984400502940073e-10	3.5004351456012185e-10	3.414201286472627e-10	2.913514502223239e-10	1.8497837215979004e-08	8.258857747325166e-11	-8.829686559439596e-12	-1.7073302986485594e-11	8.468840784553844e-11	0.0	7.213459822355174e-10
C_spiroforme	3.1061474202777807e-11	-1.1336872720241131e-11	3.789845111359966e-11	3.094114037833005e-11	1.858265020982649e-11	1.1035209129041431e-08	-2.778124282607666e-12	-1.9902705628328712e-10	-1.0778910360843314e-10	-1.3515061526813886e-11	-2.223503262009482e-10	0.0
