ExcludedCluster	SampleIdx	Ky
0	0	-0.3359982495218
0	10	-0.33875508624941286
0	20	-0.33186498493036004
0	30	-0.2548565426432024
0	40	-0.2617524200150525
0	50	-0.28178521950057556
0	60	-0.27361347508820855
0	70	-0.1862536704859421
0	80	-0.13016494671705026
0	90	-0.22774258613562245
0	100	-0.2551949178615411
0	110	-0.2355312321446279
0	120	-0.20398709229681594
0	130	-0.12626948674599384
0	140	-0.2199918405638371
0	150	-0.17975979289989005
0	160	-0.1677529138814881
0	170	-0.28612607255502703
0	180	-0.14437142927855592
0	190	-0.19892953363978716
0	200	-0.1619665108537573
0	210	-0.21328954750533757
0	220	-0.14937623433243666
0	230	-0.3844870851519687
0	240	-0.39513635122519053
0	250	-0.29927724362629
0	260	-0.17106954222413434
0	270	-0.17624441160274654
0	280	-0.13903320943054798
0	290	-0.14813914835178182
0	300	-0.17097116560194917
0	310	-0.04832148860258947
0	320	0.044511342283272984
0	330	0.15087304132709356
0	340	0.02248939462953494
0	350	-0.1356233883556925
0	360	-0.02161214926909256
0	370	0.0
0	380	-0.06813370646249269
0	390	0.0
0	400	-0.062187613174831034
0	410	-0.1672682865034842
0	420	-0.00037830100144784493
0	430	-0.18792279356371608
0	440	-0.3676321574601255
0	450	-0.23922624616789356
0	460	-0.23138751913081707
0	470	-0.2546556048303465
0	480	-0.2509007538200347
0	490	-0.13374062391333244
0	500	0.0
0	510	-0.2300137329967539
0	520	-0.09431720879592671
0	530	-0.16448361280707288
0	540	-0.20526918607519012
0	550	-0.14693732532529163
0	560	-0.10540138256330564
0	570	-0.25184230606578806
0	580	-0.037378901152733235
0	590	-0.14869738045732284
0	600	-0.027659744590313375
0	610	0.0
0	620	0.0
0	630	-0.2569813657842429
0	640	-0.2627245824210448
0	650	-0.06325052526554593
0	660	-0.054031537237717406
0	670	-0.05315430427188002
0	680	0.0
0	690	-0.30440517352582697
0	700	-0.2421520385934647
0	710	-0.24418979922707412
0	720	-0.17968972248220877
0	730	-0.22885941888943595
0	740	0.04390579030289867
0	750	-0.06532038465109676
0	760	-0.24729925300812852
0	770	-0.24430788458201375
0	780	-0.22752683468341778
0	790	-0.14935789659314
0	800	-0.28867828226705256
0	810	-0.14857708503438669
0	820	-0.21463920930483305
0	830	-0.04145626477462035
0	840	-0.08526662502129038
0	850	-0.30546753316688396
0	860	-0.3750586437272439
0	870	-0.5141665560488324
0	880	-0.335257600724341
0	890	-0.4637494872199376
0	900	-0.36849133166968284
0	910	-0.2024124563554679
0	920	-0.22743444941693056
0	930	-0.0401034972073683
0	940	-0.13524283999226014
0	950	-0.1327523681611776
0	960	-0.21312948259682366
0	970	-0.07067429301448325
0	980	-0.05656550750498788
0	990	-0.04941050451436464
0	1000	-0.056575416192256964
0	1010	0.03904171310307003
0	1020	-0.12444291939811407
0	1030	0.0
0	1040	0.0
0	1050	-0.0865086122632345
0	1060	0.0008350682626396377
0	1070	0.0
0	1080	-0.04119071194886601
0	1090	-0.2213927209554692
0	1100	-0.05167516174486817
0	1110	-0.25016045712146157
0	1120	-0.2796375673565391
0	1130	-0.08987659961597227
0	1140	-0.328072312579123
0	1150	-0.23397433261512307
0	1160	-0.26307461655198094
0	1170	-0.22386843969457715
0	1180	-0.29013879076468213
0	1190	-0.32694835778841097
0	1200	-0.23411845450984964
0	1210	-0.2560723007616529
0	1220	-0.2518440019992184
0	1230	-0.2838660312555083
0	1240	-0.3302564611219889
0	1250	-0.3540382514232524
0	1260	-0.3229410887126738
0	1270	-0.2650877585295303
0	1280	-0.3726707878293533
0	1290	-0.3479460673318092
0	1300	-0.4240634993273444
0	1310	-0.49966542175455614
0	1320	-0.46949318326765077
0	1330	-0.2502364109057851
0	1340	-0.17693520125523338
0	1350	-0.4322346723403564
0	1360	-0.30250983683857624
0	1370	-0.30688420982747466
0	1380	-0.25454364808235147
0	1390	-0.3181909204920476
0	1400	-0.4123002109235488
0	1410	-0.27318009477746424
0	1420	-0.35236296657843125
0	1430	-0.3876673549756983
0	1440	-0.3605822600456762
0	1450	-0.38722746204494474
0	1460	-0.29037959588428847
0	1470	-0.35921118045392364
0	1480	-0.4076370295855346
0	1490	-0.3563292572762952
0	1500	-0.2753126634151755
0	1510	-0.29157569663834604
0	1520	-0.2332090343775496
0	1530	-0.3997758869975305
0	1540	-0.42823263493642844
0	1550	-0.37094109382078067
0	1560	-0.42788275113554236
0	1570	-0.23455199569233046
0	1580	-0.4296174174255647
0	1590	-0.37226983096553923
0	1600	-0.3603900657118057
0	1610	-0.35721169938513225
0	1620	-0.2825991250131958
0	1630	-0.38361275881838514
0	1640	-0.3242957871578671
0	1650	-0.41395737194191734
0	1660	-0.4236210896119491
0	1670	-0.42911047862712337
0	1680	-0.2725599280225385
0	1690	-0.26464644366082196
0	1700	-0.33359235678425775
0	1710	-0.1805285579867295
0	1720	-0.3759574651703973
0	1730	-0.293545517963012
0	1740	-0.22249134639681767
0	1750	-0.3479084694610773
0	1760	-0.38796760198915675
0	1770	-0.40111291281296496
0	1780	-0.455305580918764
0	1790	-0.465299811422854
0	1800	-0.6418930844031998
0	1810	-0.5896894455048924
0	1820	-0.41009458343075644
0	1830	-0.33191980909510954
0	1840	-0.4145435885405762
0	1850	-0.4063857988796279
0	1860	-0.5361452188034601
0	1870	-0.48057539421136786
0	1880	-0.29972539855778724
0	1890	-0.3080559907632027
