	name	median	mean	25th percentile	75th percentile
mean	Mean parameter for the truncated normal prior of the growth parameter	2.2156543072383474	3.1370236476924487	0.9433881569625131	4.400743151152925
B_caccae	Bacteroides caccae B_caccae	0.5700431430805912	0.5694790622530177	0.49097190696097004	0.6485832576585052
B_cellulosilyticus_WH2	Bacteroides cellulosilyticus B_cellulosilyticus_WH2	0.8553465661216776	0.8537245148211309	0.7525272353682515	0.9568749059221774
B_ovatus	Bacteroides ovatus B_ovatus	1.1240466963266809	1.1183435138561557	1.0094356849593238	1.232446736972439
B_thetaiotaomicron	Bacteroides thetaiotaomicron B_thetaiotaomicron	0.7400948180617479	0.7430416823679434	0.6604389607565864	0.8210535081805067
B_uniformis	Bacteroides uniformis B_uniformis	0.43755419857434374	0.44840132252779047	0.3579420742557655	0.5271674089643783
B_vulgatus	Phocaeicola vulgatus B_vulgatus	0.34174865696906354	0.3577688397217403	0.26473106457305046	0.44296916440673834
C_aerofaciens	Collinsella aerofaciens C_aerofaciens	0.9359665476810446	0.9349792919352079	0.8176396300929855	1.048799457233949
C_scindens	Lachnoclostridium scindens C_scindens	0.6547735608751579	0.6571188371572235	0.5440514511170053	0.7645863351646542
C_spiroforme	Erysipelatoclostridium spiroforme C_spiroforme	0.7383535406169062	0.728949365827624	0.5059887592028576	0.9568467376307603
P_distasonis	Parabacteroides distasonis P_distasonis	0.7011198928234321	0.6973416313175611	0.6055474264438341	0.7925224353399354
R_obeum	Blautia obeum R_obeum	1.1070959900176094	1.113180571156808	1.00966397701039	1.2074311760937233
