	M2-D10-1A	M2-D10-1B	M2-D10-2A	M2-D10-2B	M2-D10-3A	M2-D10-3B	M2-D8-1A	M2-D8-1B	M2-D8-2A	M2-D8-2B	M2-D8-3A	M2-D8-3B	M2-D9-1A	M2-D9-1B	M2-D9-2A	M2-D9-2B	M2-D9-3A	M2-D9-3B
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	6	5	8	11	8	7	4	8	8	9	3	12	6	8	24	6	24	8
ASV_59	32	54	55	77	22	36	29	17	16	20	30	28	14	28	22	26	22	18
ASV_60	70	62	71	63	68	80	34	44	43	36	34	57	14	14	21	18	9	5
ASV_61	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ASV_62	16	21	17	15	9	8	2280	1737	1736	1566	1315	2502	212	218	443	116	272	85
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	128	145	152	148	125	181	261	191	247	246	250	196	327	304	409	282	439	271
ASV_66	54	119	147	106	153	153	39	59	65	79	66	92	93	85	166	105	111	81
ASV_67	10	21	25	21	14	15	13	10	18	20	16	18	28	21	42	20	33	20
ASV_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	5	5	9	9	9	10	21	23	21	19	11	20	20	22	21	29	38	25
ASV_73	336	290	1275	544	236	529	374	319	253	248	298	270	239	242	442	709	516	461
ASV_74	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_75	302	339	427	398	229	242	459	493	441	326	308	625	211	127	237	257	245	194
ASV_76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_78	5	5	10	18	10	11	0	4	0	0	0	2	4	5	10	3	9	4
ASV_79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_81	18	26	35	32	34	35	47	42	39	56	40	45	62	47	62	58	80	45
ASV_82	139	168	186	224	164	279	329	291	175	258	319	276	120	128	195	230	337	313
ASV_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	212	156	127	189	113	178	0	0	0	0	0	0	78	33	89	70	93	83
ASV_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_88	14	14	17	19	5	21	46	39	40	43	43	46	9	12	7	8	13	11
ASV_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0
