	M2-D10-1A	M2-D10-1B	M2-D10-2A	M2-D10-2B	M2-D10-3A	M2-D10-3B	M2-D8-1A	M2-D8-1B	M2-D8-2A	M2-D8-2B	M2-D8-3A	M2-D8-3B	M2-D9-1A	M2-D9-1B	M2-D9-2A	M2-D9-2B	M2-D9-3A	M2-D9-3B
ASV_291	0	3	5	0	6	0	9	17	17	13	10	28	4	0	12	7	5	5
ASV_292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_294	3	0	4	0	1	2	4	2	1	5	3	4	2	2	2	0	4	3
ASV_295	2	0	2	1	1	2	0	0	0	0	0	0	0	0	5	0	2	0
ASV_296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_297	3	3	5	0	3	4	0	0	0	0	0	4	10	0	2	0	5	2
ASV_298	16	32	28	25	8	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_300	0	0	2	3	0	0	0	0	3	0	1	0	0	0	2	4	4	4
ASV_301	8	0	13	6	4	7	11	5	6	0	0	13	6	7	10	0	0	6
ASV_302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_307	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	4	0	2
ASV_308	0	0	12	0	0	5	4	9	6	6	7	5	0	3	9	4	5	1
ASV_309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_312	3	0	0	0	6	0	3	0	1	3	0	2	0	0	7	1	0	3
ASV_313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_316	0	0	0	0	0	0	1	1	0	0	0	2	0	0	4	0	4	3
ASV_317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_320	3	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_324	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	4	0
ASV_325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_333	0	0	3	0	1	5	4	0	0	6	3	3	0	2	0	2	12	0
ASV_334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_339	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0
ASV_340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_346	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_347	3	3	0	0	0	2	10	17	14	10	16	21	4	2	3	5	8	5
ASV_348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_354	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_360	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_361	31	10	0	10	15	0	75	30	41	22	30	11	32	0	0	0	23	18
ASV_362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_363	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2
ASV_364	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0
ASV_365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_368	5	0	0	0	0	2	0	2	0	0	0	3	0	0	0	0	0	1
ASV_369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_370	0	3	0	0	0	3	0	0	2	0	0	0	2	0	5	1	6	0
ASV_371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_372	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3
ASV_373	10	6	13	4	9	9	7	17	13	13	6	13	16	8	17	0	18	6
ASV_374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_375	3	1	2	3	0	5	1	3	2	0	4	1	0	0	0	0	0	0
ASV_376	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
ASV_377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_379	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_387	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0
ASV_388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_395	0	0	7	0	0	0	0	0	8	9	0	0	0	2	10	5	5	0
ASV_396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_399	2	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	3	3
ASV_400	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0
ASV_401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_419	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_426	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_427	0	1	0	1	0	3	0	0	4	0	3	0	0	0	6	4	3	3
ASV_428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_438	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_440	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
ASV_441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_443	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_444	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_446	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_447	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_450	0	0	2	0	0	0	0	2	4	10	21	0	8	0	14	0	0	0
ASV_451	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_456	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV_463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_470	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0
ASV_471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_474	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ASV_475	1	0	0	0	0	0	0	0	0	0	0	1	1	0	4	0	2	1
ASV_476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_480	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_489	0	0	0	0	0	1	1	1	0	2	0	1	0	0	0	0	0	0
ASV_490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_500	0	0	2	4	4	0	0	0	0	19	0	4	0	0	6	0	3	0
ASV_501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_516	5	2	0	4	0	4	3	0	0	2	0	7	0	0	3	0	0	5
ASV_517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_518	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
ASV_519	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
ASV_585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_599	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ASV_600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_618	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
